"CDR_ID","CALLING_MSISDN","CALLED_MSISDN","CALL_START_TIME","CALL_END_TIME","CALL_DURATION_SECONDS","CALL_TYPE","CELL_ID","IMSI","IMEI","CALL_CHARGE"
29,"+251735538055","+25176659850.",28-MAY-25 07.58.56.740267000 AM,28-MAY-25 08.50.21.740267000 AM,3085,"Local","CELL0029","IMSI000000396399238","IMEI000000147093074",15.43
30,"+251735538055","+251769032766",06-MAY-25 04.19.19.935694000 AM,06-MAY-25 04.39.52.935694000 AM,1233,"Roaming","CELL0030","IMSI000000714159386","IMEI000000328281107",36.99
31,"+251735538055","+251759575948",28-APR-25 09.13.08.107039000 PM,28-APR-25 09.13.50.107039000 PM,42,"Local","CELL0031","IMSI000000262213996","IMEI000000540376995",0.21
32,"+251735538055","+251794133259",04-JUN-25 06.50.20.762415000 AM,04-JUN-25 07.29.01.762415000 AM,2321,"International","CELL0032","IMSI000000969773623","IMEI000000790773174",116.05
33,"+251735538055","+251782797470",08-MAY-25 10.48.59.703028000 AM,08-MAY-25 10.53.22.703028000 AM,263,"National","CELL0033","IMSI000000141060140","IMEI000000670636599",2.63
34,"+251735538055","+251793527134",28-APR-25 01.15.40.296559000 AM,28-APR-25 02.14.42.296559000 AM,3542,"Local","CELL0034","IMSI000000275240722","IMEI000000746000036",17.71
35,"+251735538055","+251791340043",08-MAR-25 11.28.43.253371000 PM,09-MAR-25 12.21.17.253371000 AM,3154,"Local","CELL0035","IMSI000000234996168","IMEI000000953928133",15.77
36,"+251748669633","+251749630510",25-JAN-25 06.09.56.024558000 AM,25-JAN-25 07.09.23.024558000 AM,3567,"Roaming","CELL0036","IMSI000000930738543","IMEI000000486687882",107.01
37,"+251748669633","+251736805453",03-MAY-25 03.43.39.202462000 PM,03-MAY-25 04.13.57.202462000 PM,1818,"National","CELL0037","IMSI000000020981969","IMEI000000987744704",18.18
38,"+251748669633","+251795125280",22-MAY-25 03.40.39.994409000 PM,22-MAY-25 03.42.22.994409000 PM,103,"Local","CELL0038","IMSI000000155805790","IMEI000000055909055",0.52
39,"+251748669633","+251787881584",26-MAR-25 05.52.23.144443000 PM,26-MAR-25 06.02.08.144443000 PM,585,"Local","CELL0039","IMSI000000566834747","IMEI000000321537499",2.93
40,"+251748669633","+251771185575",06-MAR-25 11.52.11.255432000 PM,07-MAR-25 12.14.02.255432000 AM,1311,"National","CELL0040","IMSI000000144181932","IMEI000000095107579",13.11
41,"+251748669633","+251759173144",18-MAY-25 04.47.19.701492000 PM,18-MAY-25 05.41.49.701492000 PM,3270,"International","CELL0041","IMSI000000070063905","IMEI000000071387596",163.5
42,"+251748669633","+251736609818",18-MAR-25 06.38.40.928798000 AM,18-MAR-25 07.30.02.928798000 AM,3082,"Local","CELL0042","IMSI000000045849062","IMEI000000066897683",15.41
43,"+251748669633","+251793739460",15-FEB-25 04.01.26.478482000 AM,15-FEB-25 04.40.38.478482000 AM,2352,"Local","CELL0043","IMSI000000870345322","IMEI000000215552197",11.76
44,"+251748669633","+251749232427",01-APR-25 08.52.02.339156000 AM,01-APR-25 08.54.24.339156000 AM,142,"Local","CELL0044","IMSI000000023568701","IMEI000000032744514",0.71
45,"+251748669633","+251772008308",11-FEB-25 01.15.58.711635000 PM,11-FEB-25 01.47.28.711635000 PM,1890,"Roaming","CELL0045","IMSI000000636360733","IMEI000000618390635",56.7
46,"+251748669633","+251779420337",09-MAY-25 06.11.38.726413000 PM,09-MAY-25 06.32.40.726413000 PM,1262,"Roaming","CELL0046","IMSI000000801722553","IMEI000000239569860",37.86
47,"+251748669633","+251714179268",09-MAY-25 09.28.33.251263000 PM,09-MAY-25 09.43.00.251263000 PM,867,"Local","CELL0047","IMSI000000533748059","IMEI000000202319815",4.34
48,"+251748669633","+251788912528",13-MAR-25 02.51.52.642418000 PM,13-MAR-25 03.48.10.642418000 PM,3378,"Local","CELL0048","IMSI000000142640090","IMEI000000169579979",16.89
49,"+251748669633","+251788411740",04-APR-25 01.37.19.884697000 AM,04-APR-25 02.31.54.884697000 AM,3275,"Local","CELL0049","IMSI000000255947237","IMEI000000528908854",16.38
50,"+251748669633","+25174277848.",24-MAY-25 10.11.39.586853000 AM,24-MAY-25 11.04.31.586853000 AM,3172,"Local","CELL0050","IMSI000000317048152","IMEI000000908085129",15.86
51,"+251752510798","+251789947337",23-NOV-23 12.37.06.105985000 PM,23-NOV-23 01.33.15.105985000 PM,3369,"National","CELL0051","IMSI000000710706308","IMEI000000995018887",33.69
52,"+251752510798","+251798665276",17-OCT-23 09.49.55.922117000 AM,17-OCT-23 09.52.06.922117000 AM,131,"Local","CELL0052","IMSI000000731049024","IMEI000000929491050",0.66
53,"+251752510798","+251731179912",20-SEP-23 01.53.18.569082000 PM,20-SEP-23 02.35.58.569082000 PM,2560,"Local","CELL0053","IMSI000000443549101","IMEI000000890848025",12.8
54,"+251752510798","+251789604850",23-SEP-23 01.40.10.760648000 AM,23-SEP-23 02.28.14.760648000 AM,2884,"Local","CELL0054","IMSI000000828680292","IMEI000000642017762",14.42
55,"+251752510798","+251752351577",29-OCT-23 03.42.06.447447000 AM,29-OCT-23 03.57.57.447447000 AM,951,"Roaming","CELL0055","IMSI000000043784970","IMEI000000897349940",28.53
56,"+251752510798","+25175776946.",29-AUG-23 02.47.20.574251000 PM,29-AUG-23 03.10.08.574251000 PM,1368,"National","CELL0056","IMSI000000371202538","IMEI000000152753562",13.68
57,"+251752510798","+251787624845",24-SEP-23 01.33.41.946870000 PM,24-SEP-23 01.36.43.946870000 PM,182,"Roaming","CELL0057","IMSI000000619876613","IMEI000000525943807",5.46
58,"+251752510798","+251788047393",12-OCT-23 02.49.55.543522000 PM,12-OCT-23 03.03.00.543522000 PM,785,"Local","CELL0058","IMSI000000076534416","IMEI000000353668173",3.93
59,"+251752510798","+251729239860",15-SEP-23 12.02.30.537065000 PM,15-SEP-23 12.53.31.537065000 PM,3061,"Roaming","CELL0059","IMSI000000127122765","IMEI000000358200951",91.83
60,"+251752510798","+251727332926",16-NOV-23 11.31.11.693809000 AM,16-NOV-23 12.07.41.693809000 PM,2190,"National","CELL0060","IMSI000000516017563","IMEI000000196898490",21.9
61,"+251764383851","+251733796506",25-JAN-25 02.50.46.004525000 PM,25-JAN-25 03.22.05.004525000 PM,1879,"Roaming","CELL0061","IMSI000000327179832","IMEI000000493338928",56.37
62,"+251764383851","+251791166337",29-DEC-24 09.59.51.120311000 AM,29-DEC-24 10.05.36.120311000 AM,345,"National","CELL0062","IMSI000000365676184","IMEI000000652914664",3.45
63,"+251764383851","+251762044008",14-DEC-24 11.01.32.390398000 PM,14-DEC-24 11.55.54.390398000 PM,3262,"Local","CELL0063","IMSI000000154237188","IMEI000000148723441",16.31
64,"+251764383851","+251776108399",12-APR-25 12.42.51.406892000 AM,12-APR-25 01.20.29.406892000 AM,2258,"National","CELL0064","IMSI000000406250360","IMEI000000619153523",22.58
65,"+251764383851","+251735110816",09-APR-25 03.57.43.775579000 AM,09-APR-25 04.06.05.775579000 AM,502,"Local","CELL0065","IMSI000000878441610","IMEI000000693630235",2.51
66,"+251764383851","+251748126468",15-DEC-24 04.38.02.022433000 PM,15-DEC-24 04.50.44.022433000 PM,762,"Roaming","CELL0066","IMSI000000372040481","IMEI000000554642894",22.86
67,"+251764383851","+251798942836",12-APR-25 12.38.47.099607000 AM,12-APR-25 01.23.33.099607000 AM,2686,"Local","CELL0067","IMSI000000484899604","IMEI000000208844088",13.43
68,"+251764383851","+251716397748",20-DEC-24 12.50.54.395320000 AM,20-DEC-24 01.40.39.395320000 AM,2985,"Local","CELL0068","IMSI000000940051499","IMEI000000119186062",14.93
69,"+251764383851","+251748126468",21-DEC-24 03.19.58.259330000 AM,21-DEC-24 03.55.26.259330000 AM,2128,"Roaming","CELL0069","IMSI000000038628049","IMEI000000191375507",63.84
70,"+251764383851","+251716397748",12-DEC-24 01.44.10.314278000 PM,12-DEC-24 02.31.01.314278000 PM,2811,"Local","CELL0070","IMSI000000880010139","IMEI000000439717547",14.06
71,"+251764383851","+251771220493",09-FEB-25 05.54.15.310403000 AM,09-FEB-25 06.34.45.310403000 AM,2430,"Local","CELL0071","IMSI000000640780472","IMEI000000490529511",12.15
72,"+251764383851","+251765031003",20-MAR-25 03.17.34.789267000 AM,20-MAR-25 03.35.29.789267000 AM,1075,"Local","CELL0072","IMSI000000082018789","IMEI000000904285816",5.38
73,"+251764383851","+251791912975",02-FEB-25 11.37.54.194272000 PM,03-FEB-25 12.08.03.194272000 AM,1809,"National","CELL0073","IMSI000000726223998","IMEI000000122235668",18.09
74,"+251764383851","+251761818968",14-FEB-25 08.17.19.260609000 PM,14-FEB-25 09.02.40.260609000 PM,2721,"Local","CELL0074","IMSI000000921183976","IMEI000000276933244",13.61
75,"+251764383851","+251732367129",05-APR-25 12.49.17.993892000 PM,05-APR-25 01.01.48.993892000 PM,751,"Roaming","CELL0075","IMSI000000838873615","IMEI000000279378835",22.53
76,"+251772116645","+251748090647",18-MAR-24 12.26.30.511147000 PM,18-MAR-24 12.48.22.511147000 PM,1312,"National","CELL0076","IMSI000000126437462","IMEI000000598794201",13.12
77,"+251772116645","+251732718393",22-JUN-24 12.48.45.807532000 PM,22-JUN-24 12.59.57.807532000 PM,672,"National","CELL0077","IMSI000000945590638","IMEI000000250588964",6.72
78,"+251772116645","+251746513483",19-APR-24 12.25.02.266869000 PM,19-APR-24 12.30.16.266869000 PM,314,"National","CELL0078","IMSI000000093056560","IMEI000000184704996",3.14
79,"+251772116645","+251772534931",11-MAR-24 07.43.32.685667000 AM,11-MAR-24 08.22.12.685667000 AM,2320,"National","CELL0079","IMSI000000036798315","IMEI000000872973118",23.2
80,"+251772116645","+251773544919",29-MAY-24 02.50.21.952866000 PM,29-MAY-24 03.00.04.952866000 PM,583,"Local","CELL0080","IMSI000000998550540","IMEI000000568919410",2.92
81,"+251772116645","+251703175025",16-APR-24 01.22.28.212960000 PM,16-APR-24 01.54.58.212960000 PM,1950,"Local","CELL0081","IMSI000000705640043","IMEI000000006640974",9.75
82,"+251781056056","+251791166337",01-NOV-25 11.18.25.439991000 PM,01-NOV-25 11.42.55.439991000 PM,1470,"International","CELL0082","IMSI000000454229690","IMEI000000014822409",73.5
83,"+251781056056","+251757596853",14-OCT-25 09.00.38.296675000 AM,14-OCT-25 09.04.09.296675000 AM,211,"Local","CELL0083","IMSI000000755643498","IMEI000000730341080",1.06
84,"+251781056056","+251744996413",18-NOV-25 11.43.29.178547000 AM,18-NOV-25 12.34.38.178547000 PM,3069,"National","CELL0084","IMSI000000793080711","IMEI000000359306654",30.69
85,"+251781056056","+251767386299",28-AUG-25 12.56.15.797454000 PM,28-AUG-25 01.56.14.797454000 PM,3599,"Roaming","CELL0085","IMSI000000698390526","IMEI000000075087120",107.97
86,"+251781056056","+251715345737",24-NOV-25 09.41.44.842956000 PM,24-NOV-25 10.26.22.842956000 PM,2678,"Local","CELL0086","IMSI000000289928364","IMEI000000020446032",13.39
87,"+251781056056","+251739960522",04-NOV-25 11.33.43.158527000 AM,04-NOV-25 11.47.41.158527000 AM,838,"Local","CELL0087","IMSI000000905355856","IMEI000000607726087",4.19
88,"+251781056056","+251786782249",22-SEP-25 05.16.34.414105000 AM,22-SEP-25 06.15.19.414105000 AM,3525,"Local","CELL0088","IMSI000000226263165","IMEI000000478720125",17.63
89,"+251781056056","+251794813306",19-NOV-25 09.25.51.668499000 AM,19-NOV-25 10.02.11.668499000 AM,2180,"National","CELL0089","IMSI000000046625131","IMEI000000957535467",21.8
90,"+251781056056","+251736543240",15-DEC-25 07.34.10.878038000 AM,15-DEC-25 08.04.22.878038000 AM,1812,"Local","CELL0090","IMSI000000271064309","IMEI000000384592872",9.06
91,"+251794923432","+251782234627",24-FEB-25 08.42.19.428100000 AM,24-FEB-25 09.22.40.428100000 AM,2421,"Local","CELL0091","IMSI000000065596466","IMEI000000587330207",12.11
92,"+251794923432","+251768808538",04-FEB-25 08.07.18.315069000 PM,04-FEB-25 08.49.55.315069000 PM,2557,"Local","CELL0092","IMSI000000087511349","IMEI000000829054410",12.79
93,"+251794923432","+251769366562",09-MAR-25 06.11.22.320013000 PM,09-MAR-25 07.04.06.320013000 PM,3164,"Local","CELL0093","IMSI000000078093322","IMEI000000019420259",15.82
94,"+251794923432","+251720703420",19-APR-25 06.16.20.213042000 PM,19-APR-25 06.53.24.213042000 PM,2224,"Roaming","CELL0094","IMSI000000258779793","IMEI000000179680326",66.72
95,"+251794923432","+251758466331",22-DEC-24 11.02.15.488422000 PM,22-DEC-24 11.27.52.488422000 PM,1537,"Local","CELL0095","IMSI000000537624811","IMEI000000079641832",7.69
96,"+251794923432","+251716668226",18-JAN-25 07.01.56.778387000 PM,18-JAN-25 07.14.27.778387000 PM,751,"National","CELL0096","IMSI000000849565257","IMEI000000484760029",7.51
97,"+251794923432","+251792845110",23-FEB-25 10.34.09.786473000 AM,23-FEB-25 11.19.16.786473000 AM,2707,"National","CELL0097","IMSI000000058864263","IMEI000000332733418",27.07
98,"+251794923432","+251761478514",07-MAR-25 07.39.58.370201000 PM,07-MAR-25 08.10.08.370201000 PM,1810,"Roaming","CELL0098","IMSI000000770776397","IMEI000000929758048",54.3
99,"+251794923432","+251716789618",02-MAR-25 07.41.42.728336000 AM,02-MAR-25 08.36.19.728336000 AM,3277,"National","CELL0099","IMSI000000696093657","IMEI000000975977392",32.77
100,"+251794923432","+251729844904",03-MAR-25 07.00.28.836458000 PM,03-MAR-25 07.33.03.836458000 PM,1955,"Roaming","CELL0100","IMSI000000707981933","IMEI000000326550416",58.65
101,"+251794923432","+251737461391",24-FEB-25 02.42.06.053586000 PM,24-FEB-25 03.39.53.053586000 PM,3467,"Roaming","CELL0101","IMSI000000586469723","IMEI000000911624128",104.01
102,"+251794923432","+251752287009",09-FEB-25 10.13.37.212821000 PM,09-FEB-25 10.45.24.212821000 PM,1907,"National","CELL0102","IMSI000000155634978","IMEI000000273519301",19.07
103,"+251794923432","+251738355082",26-APR-25 04.51.12.188362000 AM,26-APR-25 05.31.33.188362000 AM,2421,"Local","CELL0103","IMSI000000744587422","IMEI000000380799686",12.11
104,"+251736425179","+25172814662.",12-MAR-25 08.54.58.870457000 PM,12-MAR-25 09.44.25.870457000 PM,2967,"Roaming","CELL0104","IMSI000000512956865","IMEI000000213577440",89.01
105,"+251736425179","+251773794421",26-DEC-24 10.13.41.388179000 PM,26-DEC-24 10.14.53.388179000 PM,72,"Local","CELL0105","IMSI000000007064898","IMEI000000113598580",0.36
106,"+251736425179","+251774827790",09-FEB-25 09.00.35.000626000 AM,09-FEB-25 10.00.04.000626000 AM,3569,"Local","CELL0106","IMSI000000189635893","IMEI000000718833794",17.85
107,"+251736425179","+25178749028.",10-JAN-25 09.44.17.157186000 AM,10-JAN-25 09.53.17.157186000 AM,540,"Local","CELL0107","IMSI000000634181690","IMEI000000141163398",2.7
108,"+251736425179","+251745175180",17-MAR-25 09.22.30.280596000 PM,17-MAR-25 09.52.55.280596000 PM,1825,"Roaming","CELL0108","IMSI000000287616495","IMEI000000305705560",54.75
109,"+251736425179","+251788047393",16-MAR-25 10.58.33.500729000 PM,16-MAR-25 11.44.12.500729000 PM,2739,"National","CELL0109","IMSI000000059758398","IMEI000000484973310",27.39
110,"+251736425179","+251769853578",13-MAR-25 10.56.34.254627000 PM,13-MAR-25 11.53.39.254627000 PM,3425,"Local","CELL0110","IMSI000000979992399","IMEI000000819282090",17.13
111,"+251743110554","+251783831064",14-JAN-25 09.08.51.921298000 AM,14-JAN-25 09.24.34.921298000 AM,943,"National","CELL0111","IMSI000000450421926","IMEI000000635853972",9.43
112,"+251743110554","+251737504392",23-FEB-25 03.27.30.307153000 AM,23-FEB-25 04.18.28.307153000 AM,3058,"Local","CELL0112","IMSI000000496148795","IMEI000000270017281",15.29
113,"+251743110554","+251742541201",01-MAY-25 02.27.20.733970000 AM,01-MAY-25 03.11.48.733970000 AM,2668,"International","CELL0113","IMSI000000139467831","IMEI000000405285994",133.4
114,"+251743110554","+251764924404",10-JAN-25 03.06.50.994843000 AM,10-JAN-25 03.44.57.994843000 AM,2287,"Local","CELL0114","IMSI000000891155367","IMEI000000444475021",11.44
115,"+251743110554","+251757020757",26-APR-25 11.49.00.286530000 PM,27-APR-25 12.17.41.286530000 AM,1721,"Local","CELL0115","IMSI000000686701352","IMEI000000959147084",8.61
116,"+251743110554","+251725125864",06-FEB-25 11.31.51.700562000 PM,07-FEB-25 12.18.10.700562000 AM,2779,"Roaming","CELL0116","IMSI000000159980267","IMEI000000611252814",83.37
117,"+251743110554","+251736981774",02-FEB-25 09.14.14.207059000 AM,02-FEB-25 09.44.00.207059000 AM,1786,"International","CELL0117","IMSI000000505202048","IMEI000000836439542",89.3
118,"+251743110554","+251776500155",31-MAR-25 11.08.25.988694000 PM,01-APR-25 12.06.23.988694000 AM,3478,"Local","CELL0118","IMSI000000260323807","IMEI000000431463405",17.39
119,"+251743110554","+251736076612",06-FEB-25 02.33.55.109204000 PM,06-FEB-25 03.18.24.109204000 PM,2669,"Roaming","CELL0119","IMSI000000063523535","IMEI000000485958356",80.07
120,"+251743110554","+251779648347",21-MAR-25 12.23.25.770214000 PM,21-MAR-25 12.44.44.770214000 PM,1279,"National","CELL0120","IMSI000000344778951","IMEI000000673663062",12.79
121,"+251743110554","+251745426834",14-JAN-25 12.54.13.034832000 AM,14-JAN-25 01.21.34.034832000 AM,1641,"Local","CELL0121","IMSI000000280863028","IMEI000000800475110",8.21
122,"+251743110554","+251784195413",09-MAR-25 04.50.33.936026000 PM,09-MAR-25 05.14.10.936026000 PM,1417,"Local","CELL0122","IMSI000000787935456","IMEI000000383692700",7.09
123,"+251743110554","+251731990752",25-DEC-24 09.24.15.233424000 PM,25-DEC-24 10.10.23.233424000 PM,2768,"National","CELL0123","IMSI000000540483676","IMEI000000162317836",27.68
124,"+251743110554","+251736871314",26-MAR-25 09.06.41.200963000 PM,26-MAR-25 09.46.52.200963000 PM,2411,"International","CELL0124","IMSI000000489705389","IMEI000000070436490",120.55
125,"+251743110554","+251781460013",24-FEB-25 08.47.06.892592000 PM,24-FEB-25 09.04.15.892592000 PM,1029,"Roaming","CELL0125","IMSI000000756681122","IMEI000000549234901",30.87
126,"+251753552486","+251765679278",27-NOV-25 08.56.16.958389000 PM,27-NOV-25 09.38.49.958389000 PM,2553,"Roaming","CELL0126","IMSI000000351453485","IMEI000000002717579",76.59
127,"+251753552486","+251738781624",20-SEP-25 06.59.19.783557000 PM,20-SEP-25 07.37.14.783557000 PM,2275,"National","CELL0127","IMSI000000894020225","IMEI000000974264568",22.75
128,"+251753552486","+251781391156",01-AUG-25 11.39.56.004043000 AM,01-AUG-25 11.57.04.004043000 AM,1028,"Local","CELL0128","IMSI000000868867241","IMEI000000288253215",5.14
129,"+251753552486","+251754410967",19-NOV-25 04.25.20.323791000 AM,19-NOV-25 04.36.44.323791000 AM,684,"National","CELL0129","IMSI000000375748250","IMEI000000424311646",6.84
130,"+251753552486","+251732197826",18-NOV-25 01.34.28.874496000 PM,18-NOV-25 02.20.07.874496000 PM,2739,"Roaming","CELL0130","IMSI000000201069484","IMEI000000826443289",82.17
131,"+251753552486","+25171176505.",13-OCT-25 11.28.08.651892000 AM,13-OCT-25 12.28.03.651892000 PM,3595,"Local","CELL0131","IMSI000000174805154","IMEI000000100147797",17.98
132,"+251753552486","+251736754777",17-AUG-25 03.32.00.157861000 AM,17-AUG-25 03.58.36.157861000 AM,1596,"Local","CELL0132","IMSI000000465674602","IMEI000000156340775",7.98
133,"+251753552486","+251772213768",07-NOV-25 10.27.19.883270000 PM,07-NOV-25 11.14.00.883270000 PM,2801,"National","CELL0133","IMSI000000254068528","IMEI000000012467200",28.01
134,"+251753552486","+251749780044",06-AUG-25 05.22.31.366053000 PM,06-AUG-25 05.48.02.366053000 PM,1531,"National","CELL0134","IMSI000000722721737","IMEI000000662475309",15.31
135,"+251753552486","+251757050278",29-NOV-25 07.09.06.167850000 PM,29-NOV-25 07.14.46.167850000 PM,340,"Local","CELL0135","IMSI000000102751292","IMEI000000745325771",1.7
136,"+251753552486","+251745214127",17-SEP-25 09.38.26.820250000 AM,17-SEP-25 10.36.59.820250000 AM,3513,"Local","CELL0136","IMSI000000973522770","IMEI000000670498818",17.57
137,"+251767621768","+251759809765",10-NOV-23 07.16.13.772538000 AM,10-NOV-23 07.23.15.772538000 AM,422,"Local","CELL0137","IMSI000000120578156","IMEI000000040051630",2.11
138,"+251767621768","+251761602221",04-NOV-23 05.06.11.870539000 PM,04-NOV-23 05.11.43.870539000 PM,332,"Local","CELL0138","IMSI000000627911699","IMEI000000061151147",1.66
139,"+251767621768","+251733954357",31-OCT-23 07.37.05.591116000 PM,31-OCT-23 07.56.09.591116000 PM,1144,"National","CELL0139","IMSI000000896024172","IMEI000000774867585",11.44
140,"+251767621768","+251757390030",27-OCT-23 05.51.13.687939000 PM,27-OCT-23 06.38.29.687939000 PM,2836,"Local","CELL0140","IMSI000000750663330","IMEI000000779393815",14.18
141,"+251767621768","+25177568915.",30-AUG-23 06.51.27.910893000 PM,30-AUG-23 07.11.33.910893000 PM,1206,"National","CELL0141","IMSI000000668569522","IMEI000000928275388",12.06
142,"+251767621768","+251785210393",05-DEC-23 04.26.56.958232000 AM,05-DEC-23 04.29.24.958232000 AM,148,"Local","CELL0142","IMSI000000413759525","IMEI000000154133053",0.74
143,"+251767621768","+251744064048",17-SEP-23 03.17.58.068327000 PM,17-SEP-23 03.18.52.068327000 PM,54,"Local","CELL0143","IMSI000000187024494","IMEI000000476515618",0.27
144,"+251767621768","+251717972042",01-DEC-23 01.09.07.085183000 PM,01-DEC-23 01.38.03.085183000 PM,1736,"Roaming","CELL0144","IMSI000000652219988","IMEI000000039343501",52.08
145,"+251767621768","+251738874206",15-NOV-23 03.05.02.722679000 AM,15-NOV-23 03.32.54.722679000 AM,1672,"Local","CELL0145","IMSI000000240135846","IMEI000000788701770",8.36
146,"+251767621768","+251755145343",09-OCT-23 06.45.04.617622000 PM,09-OCT-23 07.40.38.617622000 PM,3334,"Local","CELL0146","IMSI000000777751350","IMEI000000507833631",16.67
147,"+251767621768","+251711048086",14-OCT-23 04.25.51.968627000 PM,14-OCT-23 05.07.14.968627000 PM,2483,"National","CELL0147","IMSI000000099310480","IMEI000000292404237",24.83
