TRANSACTION_ID,MSISDN,TRANSACTION_TYPE,TRANSACTION_AMOUNT,TRANSACTION_DATE,PAYMENT_METHOD,BALANCE_BEFORE,BALANCE_AFTER
117,2.51749E+11,Top-up,151.03,8-Mar-25,Cash,2175.34,2326.37
118,2.51749E+11,Top-up,460.47,4-Apr-25,Cash,2326.37,2786.84
119,2.51749E+11,Top-up,429.32,2-Jun-25,Cash,2786.84,3216.16
120,2.51749E+11,Top-up,204.83,4-Apr-25,Cash,3216.16,3420.99
121,2.51749E+11,Payment,53.05,14-Oct-25,M-PESA,3420.99,3367.94
122,2.51749E+11,Top-up,151.29,24-Dec-25,M-PESA,3367.94,3519.23
123,2.51749E+11,Top-up,19.9,31-Oct-25,M-PESA,3519.23,3539.13
124,2.51749E+11,Top-up,133.88,30-Aug-25,Bank Transfer,3539.13,3673.01
125,2.51749E+11,Top-up,314.44,21-Sep-25,M-PESA,3673.01,3987.45
126,2.51749E+11,Top-up,134.89,8-Mar-25,Cash,3987.45,4122.34
127,2.51749E+11,Top-up,294.65,12-Apr-25,Cash,4122.34,4416.99
128,2.51749E+11,Payment,60.59,21-Mar-25,Cash,4416.99,4356.4
129,2.51749E+11,Top-up,454.65,13-Apr-25,Cash,4356.4,4811.05
130,2.51749E+11,Top-up,258.07,21-Dec-25,Cash,4811.05,5069.12
131,2.51749E+11,Top-up,147.58,15-Apr-25,M-PESA,5069.12,5216.7
132,2.51749E+11,Top-up,199.97,24-Nov-25,Cash,5216.7,5416.67
133,2.51749E+11,Top-up,201.47,7-Feb-25,Cash,5416.67,5618.14
134,2.51749E+11,Monthly Bill,43.4,27-Jan-26,Bank Transfer,5618.14,5574.74
135,2.51749E+11,Top-up,318.16,20-Jan-26,Cash,5574.74,5892.9
136,2.51749E+11,Adjustment,21.62,17-Aug-25,Bank Transfer,5892.9,5914.52
137,2.51749E+11,Top-up,167.72,29-Apr-25,M-PESA,5914.52,6082.24
138,2.51749E+11,Payment,15.16,30-Aug-25,Cash,6082.24,6067.08
139,2.51749E+11,Top-up,246.6,31-Mar-25,Cash,6067.08,6313.68
140,2.51749E+11,Top-up,129.52,21-Apr-25,Bank Transfer,6313.68,6443.2
141,2.51749E+11,Top-up,361.06,17-Jan-26,Cash,6443.2,6804.26
142,2.51749E+11,Top-up,478.04,21-May-25,Cash,6804.26,7282.3
143,2.51749E+11,Top-up,193.24,3-Nov-25,M-PESA,7282.3,7475.54
144,2.51753E+11,Top-up,78.66,26-Nov-24,Cash,269.45,348.11
145,2.51753E+11,Top-up,137.23,6-Jan-26,Cash,348.11,485.34
146,2.51753E+11,Monthly Bill,29.53,6-Jan-24,Cash,485.34,455.81
147,2.51753E+11,Top-up,115.31,21-Mar-25,Cash,455.81,571.12
148,2.51753E+11,Top-up,140.91,19-Jan-25,M-PESA,571.12,712.03
149,2.51753E+11,Top-up,144.98,2-Jan-24,Cash,712.03,857.01
150,2.51753E+11,Adjustment,40.06,4-Aug-24,Bank Transfer,857.01,897.07
151,2.51753E+11,Top-up,68.91,29-Nov-23,M-PESA,897.07,965.98
152,2.51753E+11,Top-up,87.3,24-Jan-26,Cash,965.98,1053.28
153,2.51753E+11,Top-up,421.45,17-Aug-25,Cash,1053.28,1474.73
154,2.51753E+11,Top-up,106,1-Apr-25,Cash,1474.73,1580.73
155,2.51753E+11,Monthly Bill,3.01,28-Jun-24,Bank Transfer,1580.73,1577.72
156,2.51753E+11,Refund,20.66,9-Jul-25,M-PESA,1577.72,1598.38
157,2.51753E+11,Top-up,142.67,2-Jun-25,Cash,1598.38,1741.05
158,2.51753E+11,Top-up,434.87,28-May-25,Cash,1741.05,2175.92
159,2.51753E+11,Top-up,373.55,7-Mar-24,Cash,2175.92,2549.47
160,2.51753E+11,Top-up,325.14,8-Dec-23,Bank Transfer,2549.47,2874.61
161,2.51753E+11,Monthly Bill,61.06,28-Jan-26,Bank Transfer,2874.61,2813.55
162,2.51753E+11,Top-up,225.73,30-May-25,Bank Transfer,2813.55,3039.28
163,2.51753E+11,Top-up,193.71,25-Aug-25,M-PESA,3039.28,3232.99
164,2.51764E+11,Top-up,139,2-Dec-25,M-PESA,235.96,374.96
165,2.51764E+11,Adjustment,74.27,15-Dec-25,Cash,374.96,449.23
166,2.51764E+11,Top-up,300.79,22-Nov-25,M-PESA,449.23,750.02
167,2.51764E+11,Top-up,354.57,14-Aug-25,M-PESA,750.02,1104.59
168,2.51764E+11,Top-up,195.85,9-Jan-26,Cash,1104.59,1300.44
169,2.51764E+11,Top-up,267.78,13-Jul-25,M-PESA,1300.44,1568.22
170,2.51764E+11,Top-up,372.27,24-Dec-25,Cash,1568.22,1940.49
171,2.51764E+11,Top-up,90.04,14-Oct-25,Cash,1940.49,2030.53
172,2.51764E+11,Top-up,454.69,24-Sep-25,Cash,2030.53,2485.22
173,2.51764E+11,Top-up,443.13,16-Mar-25,M-PESA,2485.22,2928.35
174,2.51764E+11,Top-up,475.48,28-Apr-25,M-PESA,2928.35,3403.83
175,2.51764E+11,Adjustment,39.06,17-Oct-25,Bank Transfer,3403.83,3442.89
176,2.51764E+11,Top-up,315.07,13-Dec-25,Bank Transfer,3442.89,3757.96
177,2.51764E+11,Top-up,161.5,6-Apr-25,Cash,3757.96,3919.46
178,2.51764E+11,Top-up,323.75,29-Jul-25,Cash,3919.46,4243.21
179,2.51764E+11,Top-up,270.29,18-Dec-25,Cash,4243.21,4513.5
180,2.51764E+11,Top-up,419.5,4-Jul-25,Bank Transfer,4513.5,4933
181,2.51764E+11,Top-up,152.04,10-Aug-25,Cash,4933,5085.04
182,2.51764E+11,Top-up,143.39,23-Apr-25,Cash,5085.04,5228.43
183,2.51764E+11,Top-up,239.86,30-Nov-25,Cash,5228.43,5468.29
184,2.51764E+11,Top-up,237.42,21-Apr-25,Cash,5468.29,5705.71
185,2.51764E+11,Refund,13.35,25-Feb-25,Cash,5705.71,5719.06
186,2.51764E+11,Top-up,143.27,22-Sep-25,Cash,5719.06,5862.33
187,2.51764E+11,Top-up,469.46,8-May-25,Cash,5862.33,6331.79
188,2.51764E+11,Top-up,242.82,9-Sep-25,Cash,6331.79,6574.61
189,2.51764E+11,Top-up,114.44,14-Sep-25,Cash,6574.61,6689.05
190,2.51764E+11,Refund,59.07,17-Dec-25,M-PESA,6689.05,6748.12
191,2.51764E+11,Refund,11.44,25-Sep-25,M-PESA,6748.12,6759.56
192,2.51764E+11,Top-up,139.92,12-Jan-25,M-PESA,6759.56,6899.48
193,2.51764E+11,Top-up,201.56,30-Jan-25,Cash,6899.48,7101.04
194,2.51764E+11,Top-up,307.52,4-Mar-25,M-PESA,7101.04,7408.56
195,2.51764E+11,Top-up,212.57,17-Sep-25,Cash,7408.56,7621.13
196,2.51764E+11,Top-up,105.41,20-Dec-25,Cash,7621.13,7726.54
197,2.51764E+11,Top-up,232.84,6-Jan-26,M-PESA,7726.54,7959.38
198,2.51764E+11,Top-up,221.6,27-Oct-25,Cash,7959.38,8180.98
199,2.51764E+11,Top-up,397.23,11-Nov-25,Cash,8180.98,8578.21
200,2.51764E+11,Top-up,214.22,19-Apr-25,M-PESA,8578.21,8792.43
201,2.51764E+11,Top-up,404.02,9-Jun-25,Cash,8792.43,9196.45
202,2.51764E+11,Top-up,416.78,30-Jan-25,Cash,9196.45,9613.23
203,2.51764E+11,Top-up,370.25,15-Apr-25,Cash,9613.23,9983.48
204,2.51764E+11,Refund,83.78,8-Nov-25,M-PESA,9983.48,10067.26
205,2.51764E+11,Top-up,432.62,29-Jul-25,Cash,10067.26,10499.88
206,2.51772E+11,Monthly Bill,3.39,19-Dec-25,Bank Transfer,378.79,375.4
207,2.51772E+11,Top-up,95.18,10-Jul-25,Cash,375.4,470.58
208,2.51772E+11,Top-up,220.7,30-Jul-25,Cash,470.58,691.28
209,2.51772E+11,Top-up,384.85,7-Feb-25,Cash,691.28,1076.13
210,2.51772E+11,Top-up,60.04,1-Jun-25,M-PESA,1076.13,1136.17
211,2.51772E+11,Top-up,419.73,7-Jul-25,Cash,1136.17,1555.9
212,2.51772E+11,Top-up,119.47,27-Oct-24,Cash,1555.9,1675.37
213,2.51772E+11,Top-up,15.03,6-Oct-24,Cash,1675.37,1690.4
214,2.51772E+11,Monthly Bill,85.54,30-Jul-24,Cash,1690.4,1604.86
215,2.51772E+11,Top-up,35.86,19-Feb-24,M-PESA,1604.86,1640.72
216,2.51772E+11,Top-up,157.85,13-Jun-24,Bank Transfer,1640.72,1798.57
217,2.51772E+11,Top-up,101.99,13-Oct-24,Cash,1798.57,1900.56
218,2.51772E+11,Top-up,80.54,26-Nov-24,Cash,1900.56,1981.1
219,2.51772E+11,Top-up,128.55,21-Dec-25,M-PESA,1981.1,2109.65
220,2.51772E+11,Top-up,29.79,11-Aug-24,Cash,2109.65,2139.44
221,2.51772E+11,Top-up,486.82,27-Jun-24,Cash,2139.44,2626.26
222,2.51772E+11,Monthly Bill,3.89,23-May-25,Cash,2626.26,2622.37
223,2.51772E+11,Top-up,184.03,22-Sep-24,M-PESA,2622.37,2806.4
224,2.51772E+11,Top-up,175.33,4-Nov-25,Cash,2806.4,2981.73
225,2.51772E+11,Top-up,246.43,26-Feb-25,Cash,2981.73,3228.16
226,2.51772E+11,Top-up,239.61,19-Nov-25,M-PESA,3228.16,3467.77
227,2.51772E+11,Top-up,46.88,30-Mar-25,Cash,3467.77,3514.65
228,2.51772E+11,Monthly Bill,47.37,10-Nov-25,M-PESA,3514.65,3467.28
229,2.51781E+11,Top-up,23.11,23-Jan-26,Cash,328.52,351.63
230,2.51781E+11,Top-up,61.13,25-Oct-25,Bank Transfer,351.63,412.76
231,2.51781E+11,Refund,87.16,14-Oct-25,Cash,412.76,499.92
232,2.51781E+11,Top-up,455.5,18-Oct-25,Cash,499.92,955.42
233,2.51781E+11,Top-up,242.14,4-Sep-25,Cash,955.42,1197.56
234,2.51781E+11,Top-up,83.32,7-Nov-25,Cash,1197.56,1280.88
235,2.51781E+11,Top-up,128.81,6-Dec-25,Bank Transfer,1280.88,1409.69
236,2.51781E+11,Top-up,72.27,23-Dec-25,Cash,1409.69,1481.96
237,2.51781E+11,Top-up,159.7,19-Dec-25,Cash,1481.96,1641.66
238,2.51781E+11,Top-up,489.27,27-Sep-25,Cash,1641.66,2130.93
239,2.51781E+11,Top-up,56.68,3-Sep-25,M-PESA,2130.93,2187.61
240,2.51781E+11,Refund,96.18,3-Oct-25,Cash,2187.61,2283.79
241,2.51781E+11,Top-up,253.32,8-Dec-25,Bank Transfer,2283.79,2537.11
242,2.51781E+11,Top-up,379.31,24-Jan-26,Bank Transfer,2537.11,2916.42
243,2.51781E+11,Top-up,72.65,20-Oct-25,Cash,2916.42,2989.07
244,2.51781E+11,Top-up,297.05,14-Dec-25,Cash,2989.07,3286.12
245,2.51781E+11,Top-up,281.62,20-Sep-25,Cash,3286.12,3567.74
246,2.51781E+11,Monthly Bill,35.74,13-Jan-26,Cash,3567.74,3532
247,2.51781E+11,Top-up,61.58,21-Jan-26,Cash,3532,3593.58
248,2.51781E+11,Top-up,440.6,16-Dec-25,M-PESA,3593.58,4034.18
249,2.51781E+11,Top-up,72.95,3-Jan-26,Cash,4034.18,4107.13
250,2.51781E+11,Payment,3.57,19-Dec-25,Bank Transfer,4107.13,4103.56
251,2.51781E+11,Top-up,144.6,9-Nov-25,Cash,4103.56,4248.16
252,2.51781E+11,Top-up,401.6,20-Nov-25,M-PESA,4248.16,4649.76
253,2.51781E+11,Refund,8.98,2-Sep-25,Cash,4649.76,4658.74
254,2.51781E+11,Top-up,114.82,30-Sep-25,Bank Transfer,4658.74,4773.56
255,2.51781E+11,Top-up,143.28,30-Dec-25,Bank Transfer,4773.56,4916.84
256,2.51781E+11,Top-up,292.09,7-Sep-25,Cash,4916.84,5208.93
257,2.51781E+11,Top-up,286.28,19-Nov-25,Bank Transfer,5208.93,5495.21
258,2.51781E+11,Top-up,26.69,24-Sep-25,Cash,5495.21,5521.9
259,2.51781E+11,Top-up,342.24,19-Sep-25,Bank Transfer,5521.9,5864.14
260,2.51795E+11,Monthly Bill,80.45,28-Oct-25,Cash,247.28,166.83
261,2.51795E+11,Top-up,30.96,2-Feb-25,Cash,166.83,197.79
262,2.51795E+11,Top-up,12.98,1-Jan-26,Cash,197.79,210.77
263,2.51795E+11,Top-up,304.92,17-Dec-25,Cash,210.77,515.69
264,2.51795E+11,Top-up,451.13,20-Apr-25,Bank Transfer,515.69,966.82
265,2.51795E+11,Top-up,257.49,26-Sep-25,Cash,966.82,1224.31
266,2.51795E+11,Adjustment,6.94,2-Jan-25,Cash,1224.31,1231.25
267,2.51795E+11,Adjustment,27.22,22-Nov-25,M-PESA,1231.25,1258.47
268,2.51795E+11,Top-up,123.68,22-Dec-24,Cash,1258.47,1382.15
269,2.51795E+11,Top-up,407.55,19-Nov-25,Bank Transfer,1382.15,1789.7
270,2.51795E+11,Top-up,386.07,16-Sep-25,M-PESA,1789.7,2175.77
271,2.51795E+11,Payment,18.28,26-Dec-25,Cash,2175.77,2157.49
272,2.51795E+11,Monthly Bill,39.1,25-Jul-25,Cash,2157.49,2118.39
273,2.51795E+11,Top-up,398.25,15-May-25,Bank Transfer,2118.39,2516.64
274,2.51795E+11,Top-up,19.6,22-Jan-26,Cash,2516.64,2536.24
275,2.51795E+11,Top-up,173.01,8-Jul-25,Cash,2536.24,2709.25
276,2.51795E+11,Top-up,111.61,25-Feb-25,Cash,2709.25,2820.86
277,2.51795E+11,Top-up,26.2,8-May-25,Cash,2820.86,2847.06
278,2.51795E+11,Top-up,240.46,5-Dec-25,Cash,2847.06,3087.52
279,2.51795E+11,Top-up,301.21,17-Jan-25,M-PESA,3087.52,3388.73
280,2.51795E+11,Top-up,394.7,18-Oct-25,Bank Transfer,3388.73,3783.43
281,2.51795E+11,Top-up,471.02,31-Oct-25,Cash,3783.43,4254.45
282,2.51795E+11,Monthly Bill,31.45,28-Aug-25,Cash,4254.45,4223
283,2.51709E+11,Payment,238.7,12-Nov-25,Cash,498.81,737.51
284,2.51709E+11,Monthly Bill,234.34,17-Jun-25,M-PESA,737.51,503.17
285,2.51709E+11,Payment,133.05,17-Apr-25,M-PESA,503.17,636.22
286,2.51709E+11,Monthly Bill,258.53,19-Mar-24,Bank Transfer,636.22,377.69
287,2.51709E+11,Payment,147.3,5-Mar-25,Cash,377.69,524.99
288,2.51709E+11,Monthly Bill,252.09,9-Sep-23,M-PESA,524.99,272.9
289,2.51709E+11,Payment,115.82,17-May-25,Bank Transfer,272.9,388.72
290,2.51709E+11,Monthly Bill,190.41,1-Feb-24,Bank Transfer,388.72,198.31
291,2.51709E+11,Payment,184.91,28-Oct-24,Cash,198.31,383.22
292,2.51709E+11,Monthly Bill,259.69,14-Jun-25,Bank Transfer,383.22,123.53
293,2.51709E+11,Payment,103.76,21-Jan-23,Bank Transfer,123.53,227.29
294,2.51709E+11,Monthly Bill,96,21-Oct-24,Bank Transfer,227.29,131.29
295,2.51709E+11,Payment,211.3,30-Oct-22,M-PESA,131.29,342.59
296,2.51709E+11,Monthly Bill,117.64,11-Aug-25,Bank Transfer,342.59,224.95
297,2.51709E+11,Payment,261.58,13-Nov-22,Bank Transfer,224.95,486.53
298,2.51709E+11,Monthly Bill,275.13,15-Oct-23,M-PESA,486.53,211.4
299,2.51709E+11,Payment,122.12,30-Aug-25,M-PESA,211.4,333.52
300,2.51709E+11,Monthly Bill,293.39,4-Jan-25,Bank Transfer,333.52,40.13
301,2.51709E+11,Payment,75.39,14-Oct-24,Cash,40.13,115.52
302,2.51709E+11,Monthly Bill,154.91,21-Jan-26,M-PESA,115.52,-39.39
303,2.5172E+11,Payment,111.51,23-Jan-26,Bank Transfer,463.39,574.9
304,2.5172E+11,Monthly Bill,208.54,28-Aug-24,Cash,574.9,366.36
305,2.5172E+11,Payment,76.55,19-Apr-25,Bank Transfer,366.36,442.91
306,2.5172E+11,Monthly Bill,286.94,28-Jun-25,Bank Transfer,442.91,155.97
307,2.5172E+11,Payment,120.66,10-Dec-24,Bank Transfer,155.97,276.63
308,2.5172E+11,Monthly Bill,202.69,27-Aug-25,Cash,276.63,73.94
309,2.5172E+11,Payment,262.13,16-Mar-25,Cash,73.94,336.07
310,2.5172E+11,Monthly Bill,281.64,18-Apr-25,Bank Transfer,336.07,54.43
311,2.5172E+11,Payment,82.81,12-Mar-25,Bank Transfer,54.43,137.24
312,2.5172E+11,Monthly Bill,114.46,30-Jun-24,Cash,137.24,22.78
313,2.5172E+11,Payment,153.04,11-Jan-25,Cash,22.78,175.82
314,2.5172E+11,Monthly Bill,76.95,4-Sep-25,Cash,175.82,98.87
315,2.5172E+11,Refund,25.05,27-Sep-24,M-PESA,98.87,123.92
316,2.5172E+11,Top-up,50.01,17-Nov-24,M-PESA,123.92,173.93
317,2.5172E+11,Payment,121.92,19-May-25,Cash,173.93,295.85
318,2.5172E+11,Monthly Bill,206.98,11-Nov-24,Cash,295.85,88.87
319,2.5172E+11,Payment,202.32,23-Oct-24,Bank Transfer,88.87,291.19
320,2.5172E+11,Monthly Bill,75.55,5-Aug-25,Bank Transfer,291.19,215.64
321,2.5172E+11,Payment,291.86,19-Aug-25,Bank Transfer,215.64,507.5
322,2.5172E+11,Monthly Bill,229.14,30-Jan-26,Bank Transfer,507.5,278.36
323,2.5172E+11,Payment,87.56,31-May-25,M-PESA,278.36,365.92
324,2.5172E+11,Monthly Bill,247.21,12-Jul-25,Bank Transfer,365.92,118.71
325,2.5172E+11,Payment,122.42,10-May-25,Cash,118.71,241.13
326,2.5172E+11,Monthly Bill,152.3,18-Jul-24,M-PESA,241.13,88.83
327,2.5172E+11,Payment,217.97,18-Aug-25,Bank Transfer,88.83,306.8
328,2.5172E+11,Monthly Bill,230.99,19-Nov-24,Bank Transfer,306.8,75.81
329,2.5172E+11,Refund,16.95,24-Jun-25,Cash,75.81,92.76
330,2.5172E+11,Monthly Bill,85.64,28-Apr-25,Bank Transfer,92.76,7.12
