"DATA_ID","MSISDN","SESSION_START_TIME","SESSION_END_TIME","DATA_VOLUME_MB","SERVICE_TYPE","APN","CHARGE_AMOUNT"
80,"+251796531518",20-NOV-22 07.26.29.889116000 PM,20-NOV-22 08.16.28.905472000 PM,281.22,"2G","wapservice",2.81
81,"+251709528752",03-DEC-22 06.23.05.865166000 PM,03-DEC-22 07.53.15.689499000 PM,2302.47,"4G","mms",23.02
82,"+251709528752",11-JAN-23 10.19.38.968336000 PM,11-JAN-23 10.35.55.152443000 PM,937.19,"3G","mms",9.37
83,"+251709528752",29-NOV-22 09.46.46.590574000 AM,29-NOV-22 11.38.14.575459000 AM,4328.52,"4G","vpn",43.29
84,"+251709528752",07-JAN-23 04.47.19.753985000 AM,07-JAN-23 05.48.34.968646000 AM,1847.24,"4G","mms",18.47
85,"+251709528752",27-JAN-23 05.38.29.471644000 AM,27-JAN-23 06.35.02.437309000 AM,1081.17,"4G","internet",10.81
86,"+251709528752",18-FEB-23 05.54.52.992042000 AM,18-FEB-23 06.16.45.045881000 AM,2017.17,"4G","wapservice",20.17
87,"+251709528752",13-DEC-22 08.15.20.262533000 AM,13-DEC-22 10.06.01.443318000 AM,4695.72,"3G","vpn",46.96
88,"+251709528752",04-DEC-22 01.29.04.320043000 PM,04-DEC-22 03.08.48.446158000 PM,1876.67,"4G","wapservice",18.77
89,"+251711292461",29-SEP-24 02.14.55.208522000 AM,29-SEP-24 03.46.39.195931000 AM,202.23,"3G","internet",2.02
90,"+251711292461",15-SEP-24 02.21.03.271622000 AM,15-SEP-24 03.00.08.188310000 AM,193.92,"4G","internet",1.94
91,"+251711292461",19-SEP-24 05.00.24.294402000 AM,19-SEP-24 06.35.21.292835000 AM,1070.09,"3G","internet",10.7
92,"+251711292461",18-OCT-24 04.05.07.663274000 PM,18-OCT-24 04.56.21.669649000 PM,1959.94,"4G","mms",19.6
93,"+251711292461",04-SEP-24 08.18.49.903380000 AM,04-SEP-24 10.04.59.862415000 AM,2492.69,"4G","vpn",24.93
94,"+251711292461",14-SEP-24 01.44.27.359718000 AM,14-SEP-24 03.36.04.931840000 AM,2311.84,"4G","wapservice",23.12
95,"+251723641186",23-MAY-25 01.39.00.786762000 PM,23-MAY-25 02.48.27.517020000 PM,534.92,"4G","internet",5.35
96,"+251723641186",21-MAY-25 02.25.02.440944000 AM,21-MAY-25 03.15.31.301047000 AM,3964.14,"4G","mms",39.64
97,"+251723641186",01-JUN-25 12.41.42.822102000 AM,01-JUN-25 01.23.54.968683000 AM,4354.93,"4G","mms",43.55
98,"+251723641186",15-JUN-25 12.25.16.013684000 PM,15-JUN-25 02.23.13.771511000 PM,3244.66,"4G","internet",32.45
99,"+251723641186",15-JUL-25 07.42.54.518488000 PM,15-JUL-25 09.29.03.564026000 PM,3894.46,"4G","mms",38.94
100,"+251723641186",10-JUL-25 07.43.51.652138000 AM,10-JUL-25 08.17.02.344039000 AM,462.78,"4G","wapservice",4.63
101,"+251735174385",30-AUG-25 06.52.20.262782000 PM,30-AUG-25 07.57.31.027837000 PM,535.65,"3G","vpn",5.36
102,"+251735174385",16-SEP-25 10.50.57.989497000 AM,16-SEP-25 11.39.41.789412000 AM,658.1,"2G","internet",6.58
103,"+251735174385",30-JUL-25 10.14.57.043754000 PM,30-JUL-25 11.23.58.512137000 PM,4618.44,"4G","vpn",46.18
104,"+251742664382",17-MAY-25 07.28.44.473012000 PM,17-MAY-25 07.59.57.542272000 PM,2440.15,"4G","mms",24.4
105,"+251742664382",26-FEB-25 01.36.08.562936000 AM,26-FEB-25 02.19.59.862445000 AM,64.09,"2G","internet",0.64
106,"+251742664382",14-APR-25 01.21.28.398922000 AM,14-APR-25 01.43.53.171897000 AM,2381.54,"4G","vpn",23.82
107,"+251742664382",05-MAY-25 04.14.23.298574000 AM,05-MAY-25 04.17.17.876819000 AM,4413.65,"4G","wapservice",44.14
108,"+251742664382",05-APR-25 04.40.06.735793000 PM,05-APR-25 06.15.30.570108000 PM,2974.8,"2G","vpn",29.75
109,"+251742664382",20-FEB-25 04.39.29.461886000 PM,20-FEB-25 06.32.48.557671000 PM,3806.33,"3G","internet",38.06
110,"+251742664382",15-MAY-25 05.55.27.442676000 AM,15-MAY-25 07.25.53.684034000 AM,1999.98,"3G","wapservice",20
111,"+251759531379",16-JUN-25 04.18.49.832265000 AM,16-JUN-25 04.36.05.429388000 AM,4347.89,"WiFi","wapservice",43.48
112,"+251759531379",08-JUN-25 10.16.02.680213000 PM,08-JUN-25 10.33.24.900045000 PM,4907.21,"4G","wapservice",49.07
113,"+251759531379",14-MAY-25 02.05.55.952746000 AM,14-MAY-25 03.16.19.554061000 AM,4705.85,"4G","internet",47.06
114,"+251759531379",22-MAR-25 12.49.06.138569000 AM,22-MAR-25 02.00.44.540210000 AM,2080.2,"3G","mms",20.8
115,"+251759531379",06-JUN-25 05.25.31.239673000 AM,06-JUN-25 06.30.35.366144000 AM,4649.53,"3G","vpn",46.5
116,"+251759531379",03-APR-25 05.17.20.687193000 PM,03-APR-25 07.08.27.253086000 PM,3581.4,"4G","mms",35.81
117,"+251759531379",29-APR-25 12.29.03.394031000 PM,29-APR-25 01.52.29.507788000 PM,101.71,"4G","wapservice",1.02
118,"+25176795347.",08-JUN-25 10.03.27.426738000 PM,08-JUN-25 10.10.18.105476000 PM,4154.47,"4G","wapservice",41.54
119,"+25176795347.",01-AUG-25 04.07.07.739151000 PM,01-AUG-25 04.58.02.520372000 PM,3805.58,"4G","vpn",38.06
120,"+25176795347.",06-JUL-25 05.14.53.363250000 AM,06-JUL-25 05.54.24.687770000 AM,3027.74,"4G","internet",30.28
121,"+251773086.30",13-AUG-25 07.22.35.980280000 AM,13-AUG-25 07.53.59.723439000 AM,1460.96,"4G","mms",14.61
122,"+251773086.30",22-AUG-25 07.01.21.119017000 PM,22-AUG-25 07.57.43.406899000 PM,4898.05,"4G","internet",48.98
123,"+251773086.30",09-SEP-25 10.04.35.843847000 AM,09-SEP-25 12.00.58.489977000 PM,4913.53,"2G","mms",49.14
124,"+251786359877",29-AUG-23 07.37.07.904156000 AM,29-AUG-23 07.51.02.294412000 AM,4337.71,"4G","vpn",43.38
125,"+251786359877",05-JUN-23 08.16.11.029306000 PM,05-JUN-23 09.23.18.494750000 PM,1607.6,"4G","mms",16.08
126,"+251786359877",20-JUN-23 10.29.26.441369000 AM,20-JUN-23 11.42.31.013457000 AM,3714.04,"4G","vpn",37.14
127,"+251786359877",26-JUL-23 06.07.22.207260000 PM,26-JUL-23 07.43.13.082494000 PM,179.63,"4G","vpn",1.8
128,"+251792813667",25-AUG-23 10.55.54.506231000 AM,25-AUG-23 11.19.32.997423000 AM,4458.99,"4G","wapservice",44.59
129,"+251792813667",09-SEP-23 04.29.32.271726000 AM,09-SEP-23 06.23.12.283818000 AM,249.06,"4G","mms",2.49
130,"+251792813667",23-OCT-23 09.39.44.757310000 AM,23-OCT-23 10.19.19.780109000 AM,2039.65,"4G","mms",20.4
131,"+251792813667",10-NOV-23 10.08.30.364947000 PM,10-NOV-23 11.50.11.993033000 PM,981.19,"4G","wapservice",9.81
132,"+251733842899",23-AUG-23 09.10.20.476222000 AM,23-AUG-23 09.11.52.478490000 AM,1874.3,"4G","mms",18.74
133,"+251733842899",06-JUL-23 08.21.29.886993000 PM,06-JUL-23 09.15.32.823935000 PM,360.95,"4G","internet",3.61
134,"+251733842899",29-MAY-23 01.46.14.336668000 PM,29-MAY-23 01.56.44.365853000 PM,3898.33,"3G","wapservice",38.98
135,"+251733842899",22-MAY-23 02.18.31.951331000 PM,22-MAY-23 02.49.16.047623000 PM,1882.54,"4G","vpn",18.83
136,"+251733842899",19-MAY-23 01.56.05.479269000 AM,19-MAY-23 03.48.17.977725000 AM,4248.4,"4G","mms",42.48
137,"+251733842899",10-AUG-23 08.40.43.552688000 AM,10-AUG-23 09.34.57.480840000 AM,3933.17,"3G","wapservice",39.33
138,"+251733842899",11-JUN-23 04.27.21.968895000 AM,11-JUN-23 05.58.10.720300000 AM,2617.12,"4G","mms",26.17
139,"+251733842899",08-JUN-23 10.33.49.865605000 PM,09-JUN-23 12.04.12.849741000 AM,3549.56,"4G","wapservice",35.5
140,"+251741352927",29-OCT-25 04.10.59.647065000 PM,29-OCT-25 05.22.13.167055000 PM,2087.34,"3G","vpn",20.87
141,"+251741352927",22-SEP-25 03.34.43.507626000 PM,22-SEP-25 04.37.59.338955000 PM,981.97,"2G","mms",9.82
142,"+251741352927",26-JUL-25 03.32.47.659676000 AM,26-JUL-25 05.20.51.611838000 AM,2578.88,"4G","wapservice",25.79
143,"+251754964322",10-DEC-22 11.13.20.404306000 PM,11-DEC-22 12.58.26.115448000 AM,4609.03,"WiFi","mms",46.09
144,"+251754964322",07-NOV-22 01.14.52.281222000 AM,07-NOV-22 01.59.46.827380000 AM,1884.23,"4G","wapservice",18.84
145,"+251754964322",05-JAN-23 08.09.17.006212000 AM,05-JAN-23 08.48.28.521220000 AM,233.73,"4G","wapservice",2.34
146,"+251754964322",09-NOV-22 03.51.05.525282000 PM,09-NOV-22 05.09.32.461580000 PM,1128.44,"4G","mms",11.28
147,"+251754964322",20-OCT-22 01.20.55.104236000 PM,20-OCT-22 02.19.10.583503000 PM,2324.93,"4G","vpn",23.25
148,"+251754964322",15-JAN-23 12.50.01.539236000 AM,15-JAN-23 02.43.14.090930000 AM,2759.36,"3G","vpn",27.59
149,"+251769673258",29-DEC-24 06.31.40.505055000 PM,29-DEC-24 07.48.53.176874000 PM,4841.22,"4G","mms",48.41
150,"+251769673258",12-DEC-24 11.27.09.800423000 PM,13-DEC-24 12.10.18.108347000 AM,2098.59,"3G","internet",20.99
151,"+251769673258",18-DEC-24 08.51.22.978069000 PM,18-DEC-24 09.36.08.343623000 PM,441.45,"4G","wapservice",4.41
152,"+251769673258",23-NOV-24 12.41.56.765387000 PM,23-NOV-24 01.51.27.155259000 PM,2399.58,"4G","internet",24
153,"+251772858323",24-JUN-23 05.26.42.538320000 PM,24-JUN-23 05.41.31.840428000 PM,132.31,"3G","wapservice",1.32
154,"+251772858323",27-JUL-23 03.19.27.578550000 AM,27-JUL-23 03.34.06.259306000 AM,3020.71,"4G","mms",30.21
155,"+251772858323",04-JUL-23 06.03.57.886061000 AM,04-JUL-23 06.52.03.704000000 AM,4473.95,"4G","internet",44.74
156,"+251772858323",24-JUN-23 06.35.08.636207000 PM,24-JUN-23 07.37.48.163134000 PM,2893.58,"4G","vpn",28.94
157,"+251772858323",03-JUL-23 09.50.25.923878000 PM,03-JUL-23 10.28.01.635028000 PM,3327.62,"4G","vpn",33.28
158,"+251788429615",18-JUL-24 02.53.35.461211000 PM,18-JUL-24 02.58.53.382056000 PM,3970.32,"3G","vpn",39.7
159,"+251788429615",03-JUL-24 06.55.23.725085000 PM,03-JUL-24 08.47.11.606280000 PM,2316.19,"4G","mms",23.16
160,"+251788429615",14-JUN-24 12.44.25.880162000 AM,14-JUN-24 12.51.07.959018000 AM,3021.22,"3G","vpn",30.21
161,"+251788429615",10-MAY-24 02.17.25.166529000 AM,10-MAY-24 03.41.22.098781000 AM,1223.36,"2G","vpn",12.23
162,"+251788429615",16-MAY-24 04.19.30.846347000 PM,16-MAY-24 06.11.17.416879000 PM,464.42,"2G","wapservice",4.64
163,"+251793951399",21-JUN-25 02.14.30.961413000 PM,21-JUN-25 03.16.10.278761000 PM,2411.74,"4G","wapservice",24.12
164,"+251793951399",23-AUG-25 01.30.47.010673000 AM,23-AUG-25 02.56.40.448147000 AM,1821.32,"4G","internet",18.21
165,"+251793951399",10-JUN-25 12.39.27.627740000 PM,10-JUN-25 02.07.42.480837000 PM,193.68,"4G","mms",1.94
166,"+251793951399",03-AUG-25 02.07.11.807448000 PM,03-AUG-25 02.11.01.579100000 PM,3873.82,"3G","internet",38.74
167,"+251793951399",31-MAY-25 10.58.38.688654000 PM,01-JUN-25 12.02.43.986431000 AM,4650.02,"4G","internet",46.5
168,"+251793951399",30-AUG-25 09.40.22.503965000 AM,30-AUG-25 09.48.39.377128000 AM,1414.82,"4G","internet",14.15
169,"+251705451512",03-SEP-24 04.44.51.390922000 AM,03-SEP-24 05.59.36.341063000 AM,657.62,"3G","mms",6.58
170,"+251705451512",16-SEP-24 07.02.29.773270000 AM,16-SEP-24 07.19.51.972950000 AM,1397.72,"3G","wapservice",13.98
171,"+251705451512",20-SEP-24 03.57.09.152601000 AM,20-SEP-24 04.51.39.120898000 AM,3419.41,"3G","wapservice",34.19
172,"+251705451512",23-SEP-24 12.02.33.977882000 AM,23-SEP-24 12.27.52.866416000 AM,1100.3,"4G","internet",11
173,"+251714354244",13-MAR-24 09.09.37.533940000 AM,13-MAR-24 10.49.25.764306000 AM,3001.89,"4G","internet",30.02
174,"+251714354244",16-FEB-24 02.08.17.030240000 AM,16-FEB-24 03.44.02.468995000 AM,1173.95,"4G","wapservice",11.74
175,"+251714354244",04-FEB-24 01.25.34.991962000 PM,04-FEB-24 02.05.20.230761000 PM,1762.34,"4G","internet",17.62
176,"+251724917125",30-DEC-23 09.57.03.209377000 AM,30-DEC-23 10.46.55.433454000 AM,1398.13,"3G","wapservice",13.98
177,"+251724917125",08-JAN-24 05.47.37.991879000 PM,08-JAN-24 07.08.06.394078000 PM,512.03,"3G","vpn",5.12
178,"+251724917125",17-JAN-24 08.51.07.411962000 PM,17-JAN-24 09.47.42.199927000 PM,1606.65,"2G","mms",16.07
179,"+251724917125",18-DEC-23 07.58.04.726401000 PM,18-DEC-23 08.44.38.909370000 PM,2748.54,"3G","internet",27.49
180,"+251724917125",12-DEC-23 05.39.42.493939000 PM,12-DEC-23 05.42.00.843403000 PM,154.52,"3G","mms",1.55
181,"+251724917125",18-DEC-23 12.29.37.431440000 PM,18-DEC-23 02.18.01.143178000 PM,3419.35,"4G","vpn",34.19
182,"+251724917125",08-NOV-23 03.00.40.688174000 PM,08-NOV-23 04.39.11.167390000 PM,3237.92,"4G","mms",32.38
183,"+251724917125",27-OCT-23 03.17.52.329410000 AM,27-OCT-23 05.13.08.826255000 AM,3778.2,"4G","mms",37.78
184,"+251737284405",26-FEB-24 10.52.45.745869000 AM,26-FEB-24 11.55.03.671285000 AM,59.62,"3G","vpn",0.6
185,"+251737284405",31-DEC-23 09.39.29.336884000 AM,31-DEC-23 10.23.05.115665000 AM,3364.41,"4G","mms",33.64
186,"+251737284405",05-JAN-24 05.19.31.841431000 AM,05-JAN-24 06.34.21.931674000 AM,2280.81,"4G","wapservice",22.81
187,"+251737284405",06-MAR-24 02.15.01.897141000 PM,06-MAR-24 03.37.58.156139000 PM,3164.09,"3G","wapservice",31.64
188,"+251737284405",05-JAN-24 09.48.15.534918000 AM,05-JAN-24 09.55.01.717710000 AM,3631.39,"4G","wapservice",36.31
189,"+251737284405",16-DEC-23 06.09.39.421894000 AM,16-DEC-23 07.47.53.993692000 AM,2374.36,"3G","vpn",23.74
190,"+251745463269",10-JAN-24 05.38.02.362031000 PM,10-JAN-24 06.27.50.791302000 PM,3484.63,"4G","mms",34.85
191,"+251745463269",01-JAN-24 03.31.34.352362000 PM,01-JAN-24 05.05.06.932636000 PM,166.35,"4G","vpn",1.66
192,"+251745463269",07-DEC-23 01.56.40.160844000 AM,07-DEC-23 02.08.48.105118000 AM,3698.62,"3G","vpn",36.99
193,"+251745463269",31-JAN-24 11.23.55.245222000 AM,31-JAN-24 12.29.59.241032000 PM,1399.28,"3G","vpn",13.99
194,"+251745463269",30-OCT-23 11.34.16.338777000 PM,30-OCT-23 11.35.54.606054000 PM,447.63,"WiFi","mms",4.48
195,"+251745463269",07-DEC-23 10.49.24.098653000 AM,07-DEC-23 12.12.51.806251000 PM,2519.97,"3G","vpn",25.2
196,"+251745463269",08-DEC-23 10.06.17.178732000 AM,08-DEC-23 10.33.00.885944000 AM,2842.02,"4G","wapservice",28.42
197,"+251754003201",04-JAN-23 02.32.27.607254000 AM,04-JAN-23 04.27.20.032336000 AM,4882.91,"4G","mms",48.83
198,"+251754003201",06-JAN-23 04.36.20.691139000 PM,06-JAN-23 06.10.31.538689000 PM,612.99,"4G","internet",6.13
199,"+251754003201",29-JAN-23 03.32.18.151675000 AM,29-JAN-23 04.15.22.190657000 AM,4453.34,"4G","wapservice",44.53
200,"+251754003201",18-DEC-22 02.02.56.075671000 AM,18-DEC-22 03.29.31.351286000 AM,3298.8,"4G","mms",32.99
201,"+251754003201",08-FEB-23 05.43.59.862102000 AM,08-FEB-23 07.41.50.898141000 AM,2243.71,"3G","wapservice",22.44
202,"+251754003201",25-NOV-22 11.31.17.819025000 PM,26-NOV-22 12.17.48.003635000 AM,47.25,"2G","internet",0.47
203,"+251763635435",15-SEP-23 01.29.55.572942000 AM,15-SEP-23 01.38.26.063460000 AM,3562.58,"4G","wapservice",35.63
204,"+251763635435",20-AUG-23 11.18.33.012340000 AM,20-AUG-23 12.35.15.981113000 PM,1778.33,"4G","wapservice",17.78
205,"+251763635435",29-AUG-23 05.21.43.213241000 PM,29-AUG-23 06.30.40.531560000 PM,1356.24,"4G","vpn",13.56
