"SMS_ID","SENDER_MSISDN","RECEIVER_MSISDN","SMS_TIMESTAMP","SMS_TYPE","SMS_LENGTH","SMS_CHARGE"
42,"+251743110554","+251721376161",30-DEC-24 07.29.58.776730000 AM,"Local",26,0.1
43,"+251743110554","+251774394613",28-MAR-25 04.15.37.666078000 AM,"Local",12,0.1
44,"+251743110554","+251751842858",04-FEB-25 03.00.57.991344000 AM,"Local",139,0.1
45,"+251743110554","+251764393397",28-DEC-24 12.30.56.890764000 AM,"Local",15,0.1
46,"+251753552486","+251784502027",03-AUG-25 04.46.32.112639000 PM,"Local",32,0.1
47,"+251753552486","+251755116176",14-OCT-25 05.50.55.983840000 PM,"Local",18,0.1
48,"+251753552486","+251775521604",10-OCT-25 12.09.30.959957000 AM,"Premium",26,1
49,"+251767621768","+25171235990.",27-NOV-23 11.37.37.780749000 PM,"Local",131,0.1
50,"+251767621768","+251788227329",20-OCT-23 11.15.32.568243000 PM,"Local",118,0.1
51,"+25177769782.","+251712484548",05-MAR-23 10.55.37.539428000 PM,"Local",95,0.1
52,"+25177769782.","+251757020757",04-JAN-23 07.43.19.624407000 AM,"Local",152,0.1
53,"+25177769782.","+251734332815",25-MAR-23 10.23.54.096282000 PM,"Local",94,0.1
54,"+251787881584","+251793573349",22-MAY-24 04.54.33.140513000 PM,"Premium",113,1
55,"+251787881584","+251716397748",11-MAY-24 06.42.11.547663000 PM,"Local",109,0.1
56,"+251787881584","+251742222202",21-MAR-24 04.06.44.413913000 PM,"International",59,0.5
57,"+251787881584","+251712484548",18-APR-24 01.17.39.550377000 AM,"Local",80,0.1
58,"+251796531518","+25171702471.",07-NOV-22 11.14.50.895911000 AM,"Local",48,0.1
59,"+251796531518","+251797385002",16-OCT-22 03.56.45.367727000 AM,"Local",121,0.1
60,"+251796531518","+251774278894",21-JAN-23 12.57.42.341001000 AM,"Local",38,0.1
61,"+251796531518","+251751291329",02-JAN-23 12.53.24.164805000 PM,"Local",10,0.1
62,"+251796531518","+251731121648",13-NOV-22 12.25.45.991897000 PM,"Local",79,0.1
63,"+251709528752","+251752029594",01-FEB-23 02.44.12.829915000 PM,"International",111,0.5
64,"+251709528752","+251767627643",14-FEB-23 11.01.17.725507000 AM,"Local",87,0.1
65,"+251711292461","+251711391932",22-SEP-24 12.30.39.197352000 PM,"Premium",143,1
66,"+251711292461","+251717279317",23-SEP-24 06.41.14.541376000 PM,"Local",44,0.1
67,"+251711292461","+251758051756",25-SEP-24 06.14.56.559748000 PM,"Local",78,0.1
68,"+251723641186","+251792765138",06-JUL-25 05.18.53.347749000 AM,"Local",40,0.1
69,"+251723641186","+251747908722",23-JUL-25 06.57.38.324970000 PM,"Local",44,0.1
70,"+251723641186","+251769011794",05-JUL-25 10.19.46.216034000 AM,"Local",89,0.1
71,"+251723641186","+251746564744",29-JUN-25 03.51.02.271064000 PM,"Premium",116,1
72,"+251735174385","+251755539056",07-AUG-25 09.53.41.427262000 PM,"Local",78,0.1
73,"+251735174385","+251773488728",11-OCT-25 09.54.01.546317000 PM,"Local",58,0.1
74,"+251742664382","+251788412512",09-APR-25 10.32.01.813325000 AM,"Premium",140,1
75,"+251742664382","+251741428217",19-MAR-25 07.42.45.250585000 AM,"Local",62,0.1
76,"+251742664382","+251708711217",07-APR-25 05.19.29.479291000 PM,"Local",28,0.1
77,"+251742664382","+251788954588",07-FEB-25 11.00.44.143335000 PM,"International",99,0.5
78,"+251759531379","+251741987763",02-JUN-25 06.43.32.816605000 AM,"Local",53,0.1
79,"+251759531379","+251706281657",26-JUN-25 05.35.40.270679000 AM,"International",159,0.5
80,"+25176795347.","+25178949421.",12-MAY-25 06.11.16.779660000 PM,"Local",151,0.1
81,"+25176795347.","+251752088703",08-MAY-25 06.19.57.825699000 PM,"Local",81,0.1
82,"+25176795347.","+251748846348",23-JUL-25 12.12.56.592153000 AM,"Premium",37,1
83,"+251773086.30","+251743559044",16-SEP-25 05.10.20.412002000 AM,"Local",130,0.1
84,"+251773086.30","+251794592679",28-SEP-25 07.30.56.031882000 PM,"Local",92,0.1
85,"+251773086.30","+251792608704",25-SEP-25 03.29.29.608965000 PM,"Premium",76,1
86,"+251773086.30","+25177250086.",05-OCT-25 07.57.11.431907000 PM,"Local",138,0.1
87,"+251786359877","+251782440649",19-SEP-23 03.46.20.495801000 AM,"Local",73,0.1
88,"+251786359877","+251771484795",27-AUG-23 02.38.44.878454000 AM,"Local",69,0.1
89,"+251786359877","+251775931600",11-JUL-23 03.46.05.662137000 PM,"Premium",56,1
90,"+251786359877","+251754231893",13-SEP-23 05.32.52.353047000 PM,"Local",142,0.1
91,"+251786359877","+251741436654",17-JUN-23 03.14.01.760064000 PM,"Local",75,0.1
92,"+251792813667","+251783706047",31-AUG-23 10.00.12.173287000 PM,"Local",110,0.1
93,"+251792813667","+251752351577",24-NOV-23 12.32.13.987545000 AM,"Local",34,0.1
94,"+251733842899","+251732051168",18-AUG-23 01.08.27.092519000 PM,"Local",48,0.1
95,"+251733842899","+251742788423",21-JUN-23 08.35.45.785187000 AM,"Local",21,0.1
96,"+251733842899","+251705532789",01-SEP-23 12.09.31.355955000 PM,"Local",17,0.1
97,"+251733842899","+251716958896",25-AUG-23 09.48.43.846637000 PM,"Local",67,0.1
98,"+251741352927","+251783457331",07-NOV-25 05.32.32.978963000 AM,"Local",89,0.1
99,"+251741352927","+251780994776",27-AUG-25 02.09.48.347539000 PM,"Local",13,0.1
100,"+251754964322","+251753018025",12-DEC-22 02.01.04.911912000 PM,"International",142,0.5
101,"+251754964322","+251744064048",23-NOV-22 09.39.02.544306000 AM,"Local",37,0.1
102,"+251769673258","+251775291504",01-DEC-24 06.43.12.790962000 PM,"Local",84,0.1
103,"+251769673258","+251774919995",08-NOV-24 10.46.26.519637000 AM,"Local",14,0.1
104,"+251769673258","+251764604345",17-OCT-24 05.13.14.446520000 AM,"Premium",85,1
105,"+251769673258","+251779188667",17-DEC-24 12.13.25.415423000 AM,"Local",105,0.1
106,"+251769673258","+251779907928",09-OCT-24 09.02.09.352893000 AM,"Local",47,0.1
107,"+251772858323","+251782024473",13-AUG-23 06.13.50.021042000 PM,"Local",145,0.1
108,"+251772858323","+251782526863",11-MAY-23 07.51.31.867866000 AM,"Local",83,0.1
109,"+251772858323","+251754134785",14-AUG-23 05.08.11.488635000 AM,"Local",47,0.1
110,"+251772858323","+251753165305",08-AUG-23 11.11.13.873737000 PM,"Local",112,0.1
111,"+251788429615","+251734958817",12-APR-24 07.41.30.515816000 PM,"Premium",36,1
112,"+251788429615","+251791072566",14-APR-24 09.59.03.002794000 PM,"Local",36,0.1
113,"+251788429615","+251791373872",30-MAY-24 01.38.45.935472000 AM,"Local",53,0.1
114,"+251788429615","+251757050278",27-JUL-24 01.13.27.024253000 AM,"Local",11,0.1
115,"+251788429615","+251719656744",26-APR-24 05.18.25.400689000 PM,"Local",52,0.1
116,"+251793951399","+251764591731",31-AUG-25 03.11.31.869271000 PM,"Local",80,0.1
117,"+251793951399","+251752704600",15-JUN-25 03.29.11.490588000 PM,"Local",91,0.1
118,"+251793951399","+251708622901",21-AUG-25 03.51.24.988212000 PM,"Premium",93,1
119,"+251793951399","+251748679963",27-AUG-25 07.25.51.770178000 AM,"Local",65,0.1
120,"+251793951399","+251787878411",06-JUN-25 07.56.25.940061000 AM,"Local",153,0.1
121,"+251705451512","+251792758533",23-SEP-24 08.03.03.983289000 AM,"Local",133,0.1
122,"+251705451512","+251786340563",13-DEC-24 07.00.13.360996000 PM,"Premium",131,1
123,"+251705451512","+251782234627",06-SEP-24 04.52.13.033083000 AM,"Local",124,0.1
124,"+251714354244","+251760466627",05-JAN-24 01.35.22.780009000 AM,"Local",84,0.1
125,"+251714354244","+251724917125",31-DEC-23 02.23.53.572748000 PM,"Local",96,0.1
126,"+251724917125","+251718913355",22-JAN-24 09.20.06.237977000 AM,"International",32,0.5
127,"+251724917125","+251755127241",17-NOV-23 06.56.40.545038000 AM,"Local",127,0.1
128,"+251724917125","+251785385930",27-JAN-24 12.52.38.534296000 AM,"Local",51,0.1
129,"+251724917125","+251735730062",10-FEB-24 09.07.38.678471000 PM,"Local",72,0.1
130,"+251724917125","+251788535507",11-NOV-23 11.33.25.328846000 PM,"Local",132,0.1
131,"+251737284405","+251746880169",03-FEB-24 04.13.48.644854000 PM,"Local",76,0.1
132,"+251737284405","+251773455793",01-MAR-24 02.01.25.516629000 PM,"Local",14,0.1
133,"+251737284405","+251733515319",25-DEC-23 12.22.32.827390000 PM,"Local",127,0.1
134,"+251745463269","+251779529339",05-FEB-24 01.20.18.506071000 PM,"Local",125,0.1
135,"+251745463269","+251787725919",04-JAN-24 02.36.20.304388000 PM,"Local",16,0.1
136,"+251745463269","+251765634410",28-JAN-24 05.53.56.397566000 PM,"Premium",107,1
137,"+251745463269","+251743920468",05-NOV-23 10.22.53.864296000 AM,"Local",23,0.1
138,"+251745463269","+251753138442",16-NOV-23 02.46.25.164341000 AM,"Local",27,0.1
139,"+251754003201","+251797385002",30-OCT-22 04.20.41.157114000 AM,"Premium",58,1
140,"+251754003201","+251729147952",15-FEB-23 03.48.26.637016000 AM,"Local",107,0.1
141,"+251754003201","+251784472009",15-JAN-23 04.26.12.803330000 PM,"International",55,0.5
142,"+251754003201","+251721225956",06-FEB-23 02.58.15.522436000 PM,"Premium",16,1
143,"+251763635435","+251786606299",16-AUG-23 08.17.39.441684000 PM,"Local",80,0.1
144,"+251763635435","+2517736050.1",22-JUN-23 01.02.14.663624000 PM,"Local",58,0.1
145,"+251763635435","+251781542678",30-AUG-23 04.29.20.036160000 AM,"Local",75,0.1
146,"+251763635435","+251797035624",05-SEP-23 08.05.12.485300000 AM,"International",127,0.5
147,"+251776775230","+251780733049",30-JAN-26 09.03.06.005233000 AM,"Local",147,0.1
148,"+251776775230","+251752715083",23-JAN-26 04.16.53.861201000 PM,"Local",64,0.1
149,"+251776775230","+251742981359",27-JAN-26 12.26.27.911634000 PM,"Local",19,0.1
150,"+251784065786","+251729200863",15-JUL-24 12.50.38.063045000 AM,"Local",72,0.1
151,"+251784065786","+251701088865",22-JUL-24 01.04.19.597651000 AM,"Local",58,0.1
152,"+251784065786","+251768475398",17-JUL-24 04.04.11.856156000 AM,"Local",33,0.1
153,"+251784065786","+251758127966",15-MAY-24 04.30.08.465538000 AM,"Local",49,0.1
154,"+251784065786","+251707750801",19-AUG-24 02.28.34.992278000 AM,"Local",99,0.1
155,"+251798202560","+25171771220.",13-JUL-24 05.40.16.199116000 AM,"International",117,0.5
156,"+251798202560","+251752192141",01-JUL-24 04.28.04.946615000 PM,"Local",94,0.1
157,"+251798202560","+251787750013",23-APR-24 06.09.22.216688000 AM,"Local",40,0.1
158,"+251798202560","+251771540311",19-MAY-24 11.35.31.831901000 AM,"Local",13,0.1
159,"+251798202560","+251767893860",12-AUG-24 05.14.14.171136000 AM,"Local",14,0.1
160,"+251731990752","+251793600181",02-JAN-26 11.28.52.609882000 PM,"Local",10,0.1
161,"+251731990752","+251788602464",31-JAN-26 09.30.30.368573000 PM,"Premium",77,1
162,"+251731990752","+25172443870.",31-DEC-25 12.00.00.000000000 AM,"Local",26,0.1
163,"+251746539206","+251775499927",22-SEP-24 07.07.21.638489000 PM,"Local",30,0.1
164,"+251746539206","+251796956804",10-NOV-24 09.49.48.701124000 AM,"Local",119,0.1
165,"+251746539206","+251754645845",19-SEP-24 02.50.26.429478000 PM,"Local",49,0.1
166,"+251746539206","+251759788568",07-OCT-24 03.55.44.134046000 PM,"Local",60,0.1
167,"+251746539206","+251763557572",20-OCT-24 06.02.18.330335000 PM,"Local",87,0.1
168,"+251759863520","+251755827570",31-DEC-25 12.00.00.000000000 AM,"Local",89,0.1
169,"+251759863520","+25176546769.",23-NOV-25 02.17.51.485295000 PM,"Premium",57,1
170,"+251759863520","+251745769186",01-JAN-26 08.53.22.762661000 PM,"Local",78,0.1
171,"+251759863520","+251743391603",31-DEC-25 12.00.00.000000000 AM,"Local",31,0.1
172,"+251759863520","+251765083804",31-JAN-26 09.46.59.605601000 PM,"Local",73,0.1
173,"+25176546769.","+251782844430",31-DEC-25 12.00.00.000000000 AM,"International",12,0.5
174,"+25176546769.","+251721453021",31-DEC-25 12.00.00.000000000 AM,"Local",27,0.1
175,"+251774337825","+251751555883",14-OCT-25 04.12.17.946708000 PM,"Local",103,0.1
176,"+251774337825","+251773520662",05-NOV-25 05.33.48.580470000 PM,"Local",16,0.1
177,"+251774337825","+251722703195",05-OCT-25 01.32.22.463811000 AM,"Local",29,0.1
178,"+251784955003","+251719238732",09-OCT-23 01.49.18.567160000 PM,"Local",127,0.1
179,"+251784955003","+251736543240",08-DEC-23 05.31.30.525736000 PM,"Local",42,0.1
180,"+251784955003","+251769181850",29-SEP-23 03.38.50.476289000 AM,"Local",19,0.1
181,"+251784955003","+251764174042",30-SEP-23 09.41.34.800921000 AM,"Local",31,0.1
182,"+251784955003","+251774953181",13-OCT-23 08.24.27.785583000 AM,"Local",135,0.1
183,"+251797295939","+251788935298",09-AUG-24 08.27.35.619957000 AM,"Premium",138,1
184,"+251797295939","+251787938426",01-JUL-24 01.37.07.780389000 AM,"Local",133,0.1
185,"+251797295939","+25179275206.",01-AUG-24 01.19.17.192837000 AM,"Local",47,0.1
186,"+251797295939","+251748213129",01-JUL-24 06.10.07.068310000 PM,"International",128,0.5
187,"+251731012647","+251785540790",27-FEB-24 04.37.56.885362000 AM,"Local",40,0.1
188,"+251731012647","+251756744698",23-FEB-24 10.59.24.341641000 PM,"Premium",51,1
189,"+251731012647","+251729598379",29-JAN-24 06.09.59.481333000 AM,"Local",76,0.1
190,"+251731012647","+251792595613",20-FEB-24 08.45.56.640412000 AM,"Local",59,0.1
191,"+251749422284","+251767627643",05-JAN-26 01.41.54.778416000 AM,"Local",129,0.1
192,"+251749422284","+251715151064",26-OCT-25 03.38.53.257725000 PM,"Local",149,0.1
193,"+251755290605","+251729844904",03-MAY-25 11.36.20.339871000 AM,"Local",90,0.1
194,"+251755290605","+251736504325",02-APR-25 11.05.03.922637000 AM,"International",98,0.5
195,"+251768734761","+2517770425.5",31-DEC-25 12.00.00.000000000 AM,"Local",103,0.1
196,"+251768734761","+251778964987",05-JAN-26 08.26.36.777151000 AM,"Local",31,0.1
197,"+251768734761","+251761086479",14-JAN-26 03.55.23.442833000 PM,"Local",34,0.1
198,"+251768734761","+251770043805",31-DEC-25 12.00.00.000000000 AM,"Local",64,0.1
199,"+251768734761","+251791166337",01-JAN-26 03.17.54.807060000 AM,"Local",73,0.1
200,"+25177250086.","+251785342412",30-APR-25 04.12.53.516689000 AM,"Local",73,0.1
201,"+25177250086.","+251708650846",29-MAR-25 01.34.26.984104000 AM,"Local",15,0.1
202,"+25177250086.","+251798014422",05-APR-25 03.13.13.065037000 PM,"Local",51,0.1
203,"+25177250086.","+251739187122",18-FEB-25 10.50.36.627132000 AM,"Local",32,0.1
204,"+25177250086.","+251785961034",15-FEB-25 12.02.42.209198000 AM,"Local",117,0.1
205,"+251789517989","+251728127521",16-DEC-25 05.15.40.898657000 PM,"Local",43,0.1
206,"+251789517989","+251713299655",31-DEC-25 12.00.00.000000000 AM,"Local",139,0.1
207,"+251789517989","+251780170140",01-JAN-26 06.11.05.482557000 AM,"Local",119,0.1
208,"+251791821912","+251778204935",29-FEB-24 12.33.33.380576000 AM,"Local",109,0.1
209,"+251791821912","+251793688531",26-FEB-24 04.20.49.243569000 AM,"Local",115,0.1
210,"+251707285101","+251756462077",08-AUG-25 12.56.21.454876000 AM,"Local",134,0.1
211,"+251707285101","+251791688062",23-MAY-25 08.45.01.217021000 AM,"International",106,0.5
212,"+251707285101","+251710291489",29-JUN-25 03.39.15.643895000 AM,"Premium",34,1
213,"+251707285101","+251771316848",09-JUN-25 11.54.12.563312000 PM,"Local",158,0.1
214,"+251707285101","+251789763599",13-MAY-25 02.15.00.560326000 AM,"Local",93,0.1
215,"+251712172100","+251725387753",17-SEP-23 07.24.29.196253000 AM,"Local",16,0.1
216,"+251712172100","+251727852260",23-SEP-23 09.29.20.319048000 AM,"Local",131,0.1
217,"+251712172100","+251723326172",10-SEP-23 08.07.39.460346000 AM,"Local",91,0.1
218,"+251712172100","+251779909556",05-NOV-23 11.02.40.914268000 AM,"Local",25,0.1
219,"+251712172100","+251755039297",19-SEP-23 04.16.48.155265000 AM,"Local",67,0.1
220,"+251726413315","+25173403594.",10-FEB-23 06.44.14.474912000 PM,"Local",117,0.1
221,"+251726413315","+25173669617.",16-MAR-23 12.06.59.717474000 PM,"Local",107,0.1
222,"+251726413315","+251772254279",12-MAR-23 11.27.51.122674000 AM,"Local",17,0.1
223,"+251734453988","+251784591936",24-SEP-23 02.31.36.575365000 PM,"Premium",96,1
224,"+251734453988","+251799080722",19-AUG-23 07.37.01.557122000 AM,"Local",129,0.1
225,"+251748126468","+251795264130",31-MAR-25 01.59.31.184534000 PM,"Local",86,0.1
226,"+251748126468","+251726103215",08-FEB-25 03.50.39.159452000 AM,"International",117,0.5
227,"+251748126468","+251762717532",07-JAN-25 04.37.03.764495000 PM,"Local",113,0.1
228,"+251752978141","+251763267764",22-AUG-23 02.45.24.275057000 AM,"Premium",159,1
229,"+251752978141","+251792203219",19-JUL-23 05.38.10.507294000 PM,"Local",21,0.1
230,"+251765566901","+251759930724",30-MAY-25 07.08.02.440557000 AM,"Local",114,0.1
231,"+251765566901","+251784191074",26-MAR-25 05.07.37.564898000 AM,"Premium",153,1
232,"+251765566901","+251706207064",02-APR-25 04.22.30.682546000 PM,"Local",105,0.1
233,"+251765566901","+251767935990",15-MAR-25 09.08.36.435196000 PM,"Local",75,0.1
234,"+251765566901","+25173246319.",02-MAR-25 05.17.35.790718000 AM,"Local",12,0.1
235,"+251779030982","+251772099003",14-MAR-25 05.09.09.795463000 AM,"Local",75,0.1
236,"+251779030982","+251774658568",10-MAY-25 05.23.44.693085000 PM,"Local",109,0.1
237,"+251779030982","+251748745763",07-MAR-25 10.58.57.061462000 PM,"Local",17,0.1
238,"+251783792466","+251763211512",20-APR-25 02.13.03.945236000 AM,"Premium",93,1
239,"+251783792466","+251787347312",14-APR-25 11.59.15.578006000 AM,"Local",44,0.1
240,"+251783792466","+251736565156",23-APR-25 06.03.24.542892000 PM,"Local",119,0.1
241,"+251783792466","+25173815000.",20-JUN-25 03.57.06.660335000 PM,"Local",82,0.1
242,"+251792302607","+251799955051",02-JUL-24 11.33.24.372998000 PM,"Local",87,0.1
243,"+251792302607","+251739262606",01-JUN-24 10.16.11.367065000 AM,"Local",139,0.1
244,"+251736482605","+251734958817",07-SEP-22 11.31.30.709572000 PM,"Local",78,0.1
245,"+251736482605","+251785829624",16-NOV-22 04.26.59.593955000 PM,"Local",42,0.1
246,"+251749538854","+25177250086.",22-OCT-24 06.24.45.718206000 AM,"Local",40,0.1
247,"+251749538854","+251774531473",10-NOV-24 12.10.54.880691000 AM,"Local",77,0.1
248,"+251749538854","+251762400530",24-DEC-24 09.25.23.621894000 AM,"Local",111,0.1
249,"+251752724677","+251711292461",14-JUL-23 11.00.45.024459000 PM,"Local",144,0.1
250,"+251752724677","+251747004989",27-JUN-23 03.49.27.326624000 PM,"Local",84,0.1
251,"+251761024928","+251741454628",31-DEC-25 12.00.00.000000000 AM,"Local",10,0.1
252,"+251761024928","+251715315996",09-NOV-25 04.21.32.056923000 AM,"Local",70,0.1
253,"+251778515800","+251752741767",31-DEC-25 12.00.00.000000000 AM,"Premium",153,1
254,"+251778515800","+251751097004",17-JAN-26 10.38.17.440050000 AM,"Local",148,0.1
255,"+251778515800","+251753647837",31-JAN-26 07.41.39.142180000 PM,"Local",19,0.1
256,"+251778515800","+251777941215",31-DEC-25 12.00.00.000000000 AM,"Local",78,0.1
257,"+251786572736","+25174597421.",15-JAN-23 12.27.40.555438000 PM,"Local",63,0.1
258,"+251786572736","+251795064363",07-DEC-22 08.13.09.462077000 PM,"Local",79,0.1
259,"+251797843183","+251724386379",31-DEC-25 12.00.00.000000000 AM,"Local",16,0.1
260,"+251797843183","+251764694806",31-DEC-25 12.00.00.000000000 AM,"Local",34,0.1
261,"+251702687145","+251724738879",16-FEB-24 03.09.51.686120000 PM,"Local",60,0.1
262,"+251702687145","+251727878713",21-JAN-24 02.55.24.112595000 PM,"Local",46,0.1
263,"+251702687145","+251729997966",24-JAN-24 04.37.56.104182000 AM,"Local",149,0.1
264,"+251702687145","+25177813002.",23-FEB-24 06.33.49.266339000 PM,"Local",159,0.1
265,"+251716958896","+251775875118",06-AUG-24 06.17.21.520411000 AM,"Local",81,0.1
266,"+251716958896","+251795689714",20-JUL-24 09.07.47.107190000 PM,"Local",123,0.1
267,"+251716958896","+251795331563",24-JUL-24 09.29.17.537560000 PM,"Local",47,0.1
268,"+251716958896","+251798352439",23-APR-24 08.49.25.278078000 PM,"Local",99,0.1
269,"+251726694627","+251748467699",18-FEB-24 05.06.06.646372000 PM,"Local",104,0.1
270,"+251726694627","+251756338137",23-MAR-24 06.55.38.804627000 PM,"International",118,0.5
271,"+251734958817","+251777862251",24-AUG-23 08.54.34.266379000 AM,"Local",46,0.1
272,"+251734958817","+251792176523",14-SEP-23 06.49.09.067695000 AM,"Local",40,0.1
273,"+251734958817","+251782885475",04-OCT-23 07.33.22.812166000 PM,"Local",38,0.1
274,"+251734958817","+251734827995",12-SEP-23 11.53.14.273531000 PM,"Local",55,0.1
275,"+251734958817","+251744415635",29-JUN-23 05.47.34.310943000 AM,"Local",144,0.1
276,"+251747408852","+251764669301",15-AUG-23 09.14.22.042080000 PM,"Premium",134,1
277,"+251747408852","+251729997966",29-JUL-23 05.38.17.932534000 PM,"Local",96,0.1
278,"+251747408852","+251776834991",24-JUL-23 06.35.39.803173000 AM,"Local",99,0.1
279,"+251747408852","+251741436654",01-OCT-23 01.04.00.090469000 PM,"Premium",18,1
280,"+251747408852","+251787061645",26-JUN-23 03.21.01.342854000 AM,"Local",92,0.1
281,"+251752248990","+251772736304",14-OCT-22 04.06.06.747244000 AM,"Local",29,0.1
282,"+251752248990","+251781567194",24-NOV-22 02.10.48.415382000 PM,"Local",47,0.1
283,"+251752248990","+251782786489",11-JAN-23 07.47.29.981882000 AM,"Local",42,0.1
284,"+251752248990","+251783238691",20-DEC-22 08.56.20.573475000 AM,"Local",38,0.1
285,"+251752248990","+251791301778",31-JAN-23 06.20.08.346341000 PM,"Local",122,0.1
286,"+251766890816","+251753276413",28-NOV-25 04.24.38.797347000 PM,"Local",89,0.1
287,"+251766890816","+251761528698",10-NOV-25 03.38.52.912646000 AM,"Local",158,0.1
288,"+251779031957","+251765606818",21-OCT-23 05.50.48.575804000 PM,"Local",82,0.1
289,"+251779031957","+251747368938",18-AUG-23 03.46.19.231202000 AM,"Local",45,0.1
290,"+251779031957","+251758855490",02-OCT-23 09.07.39.299003000 PM,"Premium",79,1
291,"+251779031957","+251718892457",31-JUL-23 03.55.00.323975000 PM,"International",41,0.5
292,"+251779031957","+251790436867",13-SEP-23 03.21.12.307088000 PM,"Local",127,0.1
293,"+251788027593","+251797843183",14-SEP-25 04.16.10.452152000 PM,"Local",73,0.1
294,"+251788027593","+251767226433",12-AUG-25 04.08.13.054324000 AM,"Local",17,0.1
295,"+251788027593","+251789935504",09-AUG-25 01.27.09.808302000 PM,"Local",131,0.1
296,"+251793162687","+251729467600",23-AUG-24 02.34.37.269694000 PM,"Local",82,0.1
297,"+251793162687","+251716566949",04-SEP-24 11.17.10.965721000 AM,"Local",104,0.1
298,"+251732449236","+251761779407",21-JUL-23 03.07.20.748263000 PM,"Local",128,0.1
299,"+251732449236","+251711305789",10-JUL-23 02.08.19.805097000 PM,"Local",67,0.1
300,"+251732449236","+251744581885",25-MAY-23 08.34.32.407591000 PM,"Local",17,0.1
301,"+251748090647","+251781499479",30-DEC-24 08.42.24.515997000 AM,"Local",48,0.1
