"CUSTOMER_ID","MSISDN","CUSTOMER_NAME","REGION","ZONE","CITY","REGISTRATION_DATE","CUSTOMER_TYPE","TARIFF_PLAN","ACCOUNT_STATUS"
1994,"+251745463269","Omor Ahmed","Amhara","North","Bahir Dar",26-OCT-23,"Prepaid","Student","Active"
1995,"+251754003201","Saba Mesfin","Tigray","Central","Mekelle",27-OCT-22,"Prepaid","Basic","Active"
1996,"+251763635435","Tedros Kebede","SNNPR","Gurage","Wolkite",11-JUN-23,"Prepaid","Standard","Active"
1997,"+251776775230","Urge Teshome","Dire Dawa","City","Dire Dawa",19-DEC-25,"Prepaid","Premium","Active"
1998,"+251784065786","Wendimu Michael","Addis Ababa","Center","Addis Ababa CBD",09-MAY-24,"Prepaid","Business","Active"
1999,"+251798202560","Yordanos Worku","Oromia","East","Adama",21-APR-24,"Prepaid","Student","Active"
2000,"+251706418705","Alemayehu Bekele","Amhara","North","Bahir Dar",18-AUG-22,"Postpaid","Basic","Suspended"
1873,"+251731990752","Nardos Daniel","Oromia","East","Adama",29-DEC-25,"Prepaid","Business","Active"
1874,"+251746539206","Omor Ahmed","Amhara","North","Bahir Dar",13-AUG-24,"Prepaid","Student","Active"
1875,"+251759863520","Saba Mesfin","Tigray","Central","Mekelle",18-OCT-25,"Prepaid","Basic","Active"
1876,"+25176546769.","Tedros Kebede","SNNPR","Gurage","Wolkite",03-JAN-26,"Prepaid","Standard","Active"
1877,"+251774337825","Urge Teshome","Dire Dawa","City","Dire Dawa",03-SEP-25,"Prepaid","Premium","Active"
1878,"+251784955003","Wendimu Michael","Addis Ababa","Center","Addis Ababa CBD",27-AUG-23,"Prepaid","Business","Active"
1879,"+251797295939","Yordanos Worku","Oromia","East","Adama",13-JUN-24,"Prepaid","Student","Active"
1880,"+251703398917","Alemayehu Bekele","Amhara","North","Bahir Dar",22-JUN-24,"Postpaid","Basic","Suspended"
1881,"+251716261209","Biruk Tesfaye","Tigray","Central","Mekelle",15-APR-24,"Hybrid","Standard","Terminated"
1882,"+251721485018","Chaltu Girma","SNNPR","Gurage","Wolkite",29-JUL-24,"Prepaid","Premium","Inactive"
1883,"+251731012647","Dereje Haile","Dire Dawa","City","Dire Dawa",27-JAN-24,"Prepaid","Business","Active"
1884,"+251749422284","Eleni Solomon","Addis Ababa","Center","Addis Ababa CBD",18-OCT-25,"Prepaid","Student","Active"
1885,"+251755290605","Fasil Mengistu","Oromia","East","Adama",01-MAR-25,"Prepaid","Basic","Active"
1886,"+251768734761","Genet Abebe","Amhara","North","Bahir Dar",20-NOV-25,"Prepaid","Standard","Active"
1887,"+25177250086.","Habtamu Tadesse","Tigray","Central","Mekelle",19-JAN-25,"Prepaid","Premium","Active"
1888,"+251789517989","Imani Mohammed","SNNPR","Gurage","Wolkite",23-NOV-25,"Prepaid","Business","Active"
1889,"+251791821912","Jemal Hussein","Dire Dawa","City","Dire Dawa",17-NOV-23,"Prepaid","Student","Active"
1890,"+251707285101","Kalkidan Yohannes","Addis Ababa","Center","Addis Ababa CBD",24-APR-25,"Postpaid","Basic","Active"
1891,"+251712172100","Liya Getahun","Oromia","East","Adama",26-AUG-23,"Hybrid","Standard","Active"
1892,"+251726413315","Mulualem Assefa","Amhara","North","Bahir Dar",15-DEC-22,"Prepaid","Premium","Active"
1893,"+251734453988","Nardos Daniel","Tigray","Central","Mekelle",31-JUL-23,"Prepaid","Business","Active"
1894,"+251748126468","Omor Ahmed","SNNPR","Gurage","Wolkite",17-DEC-24,"Prepaid","Student","Active"
1895,"+251752978141","Saba Mesfin","Dire Dawa","City","Dire Dawa",29-JUN-23,"Prepaid","Basic","Active"
1896,"+251765566901","Tedros Kebede","Addis Ababa","Center","Addis Ababa CBD",15-FEB-25,"Prepaid","Standard","Active"
1897,"+251779030982","Urge Teshome","Oromia","East","Adama",27-FEB-25,"Prepaid","Premium","Active"
1898,"+251783792466","Wendimu Michael","Amhara","North","Bahir Dar",13-APR-25,"Prepaid","Business","Active"
1899,"+251792302607","Yordanos Worku","Tigray","Central","Mekelle",02-MAY-24,"Prepaid","Student","Active"
1900,"+251701030897","Alemayehu Bekele","SNNPR","Gurage","Wolkite",03-FEB-25,"Postpaid","Basic","Suspended"
1901,"+251717386273","Biruk Tesfaye","Dire Dawa","City","Dire Dawa",26-MAY-24,"Hybrid","Standard","Terminated"
1902,"+251725479972","Chaltu Girma","Addis Ababa","Center","Addis Ababa CBD",15-AUG-22,"Prepaid","Premium","Inactive"
1903,"+251736482605","Dereje Haile","Oromia","East","Adama",09-AUG-22,"Prepaid","Business","Active"
1904,"+251749538854","Eleni Solomon","Amhara","North","Bahir Dar",15-SEP-24,"Prepaid","Student","Active"
1905,"+251752724677","Fasil Mengistu","Tigray","Central","Mekelle",10-MAY-23,"Prepaid","Basic","Active"
1906,"+251761024928","Genet Abebe","SNNPR","Gurage","Wolkite",05-NOV-25,"Prepaid","Standard","Active"
1907,"+251778515800","Habtamu Tadesse","Dire Dawa","City","Dire Dawa",19-DEC-25,"Prepaid","Premium","Active"
1908,"+251786572736","Imani Mohammed","Addis Ababa","Center","Addis Ababa CBD",30-OCT-22,"Prepaid","Business","Active"
1909,"+251797843183","Jemal Hussein","Oromia","East","Adama",24-NOV-25,"Prepaid","Student","Active"
1910,"+251702687145","Kalkidan Yohannes","Amhara","North","Bahir Dar",16-DEC-23,"Postpaid","Basic","Active"
1911,"+251716958896","Liya Getahun","Tigray","Central","Mekelle",20-APR-24,"Hybrid","Standard","Active"
1912,"+251726694627","Mulualem Assefa","SNNPR","Gurage","Wolkite",27-JAN-24,"Prepaid","Premium","Active"
1913,"+251734958817","Nardos Daniel","Dire Dawa","City","Dire Dawa",15-JUN-23,"Prepaid","Business","Active"
1914,"+251747408852","Omor Ahmed","Addis Ababa","Center","Addis Ababa CBD",18-JUN-23,"Prepaid","Student","Active"
1915,"+251752248990","Saba Mesfin","Oromia","East","Adama",09-OCT-22,"Prepaid","Basic","Active"
1916,"+251766890816","Tedros Kebede","Amhara","North","Bahir Dar",04-OCT-25,"Prepaid","Standard","Active"
1917,"+251779031957","Urge Teshome","Tigray","Central","Mekelle",15-JUL-23,"Prepaid","Premium","Active"
1918,"+251788027593","Wendimu Michael","SNNPR","Gurage","Wolkite",26-JUL-25,"Prepaid","Business","Active"
1919,"+251793162687","Yordanos Worku","Dire Dawa","City","Dire Dawa",19-AUG-24,"Prepaid","Student","Active"
1920,"+251707242260","Alemayehu Bekele","Addis Ababa","Center","Addis Ababa CBD",21-JAN-25,"Postpaid","Basic","Suspended"
1921,"+251715131097","Biruk Tesfaye","Oromia","East","Adama",27-SEP-25,"Hybrid","Standard","Terminated"
1922,"+251726371299","Chaltu Girma","Amhara","North","Bahir Dar",05-FEB-23,"Prepaid","Premium","Inactive"
1923,"+251732449236","Dereje Haile","Tigray","Central","Mekelle",27-APR-23,"Prepaid","Business","Active"
1924,"+251748090647","Eleni Solomon","SNNPR","Gurage","Wolkite",14-DEC-24,"Prepaid","Student","Active"
1925,"+251757079943","Fasil Mengistu","Dire Dawa","City","Dire Dawa",25-OCT-24,"Prepaid","Basic","Active"
1926,"+251761818968","Genet Abebe","Addis Ababa","Center","Addis Ababa CBD",10-OCT-25,"Prepaid","Standard","Active"
1927,"+2517775471.4","Habtamu Tadesse","Oromia","East","Adama",31-MAR-25,"Prepaid","Premium","Active"
1928,"+251781602945","Imani Mohammed","Amhara","North","Bahir Dar",23-MAY-23,"Prepaid","Business","Active"
1929,"+251797801195","Jemal Hussein","Tigray","Central","Mekelle",30-JUL-23,"Prepaid","Student","Active"
1930,"+251702666299","Kalkidan Yohannes","SNNPR","Gurage","Wolkite",05-AUG-25,"Postpaid","Basic","Active"
1931,"+25171613643.","Liya Getahun","Dire Dawa","City","Dire Dawa",19-OCT-24,"Hybrid","Standard","Active"
1932,"+251725367922","Mulualem Assefa","Addis Ababa","Center","Addis Ababa CBD",10-MAR-23,"Prepaid","Premium","Active"
1933,"+251735005176","Nardos Daniel","Oromia","East","Adama",14-SEP-25,"Prepaid","Business","Active"
1934,"+251748122743","Omor Ahmed","Amhara","North","Bahir Dar",28-FEB-23,"Prepaid","Student","Active"
1935,"+251755764401","Saba Mesfin","Tigray","Central","Mekelle",24-NOV-23,"Prepaid","Basic","Active"
1936,"+251767893860","Tedros Kebede","SNNPR","Gurage","Wolkite",10-AUG-23,"Prepaid","Standard","Active"
1937,"+251778762881","Urge Teshome","Dire Dawa","City","Dire Dawa",15-SEP-25,"Prepaid","Premium","Active"
1938,"+251785484729","Wendimu Michael","Addis Ababa","Center","Addis Ababa CBD",29-OCT-25,"Prepaid","Business","Active"
1939,"+251797128822","Yordanos Worku","Oromia","East","Adama",25-MAR-24,"Prepaid","Student","Active"
1940,"+251701195754","Alemayehu Bekele","Amhara","North","Bahir Dar",14-APR-23,"Postpaid","Basic","Suspended"
1941,"+251719006838","Biruk Tesfaye","Tigray","Central","Mekelle",06-OCT-25,"Hybrid","Standard","Terminated"
1942,"+251721814195","Chaltu Girma","SNNPR","Gurage","Wolkite",20-MAY-23,"Prepaid","Premium","Inactive"
1943,"+251738274409","Dereje Haile","Dire Dawa","City","Dire Dawa",06-JUL-25,"Prepaid","Business","Active"
1944,"+251741553276","Eleni Solomon","Addis Ababa","Center","Addis Ababa CBD",08-DEC-24,"Prepaid","Student","Active"
1945,"+251755653897","Fasil Mengistu","Oromia","East","Adama",27-OCT-22,"Prepaid","Basic","Active"
1946,"+251767386299","Genet Abebe","Amhara","North","Bahir Dar",19-NOV-23,"Prepaid","Standard","Active"
1947,"+251772381840","Habtamu Tadesse","Tigray","Central","Mekelle",25-JUN-23,"Prepaid","Premium","Active"
1948,"+251788935298","Imani Mohammed","SNNPR","Gurage","Wolkite",18-AUG-22,"Prepaid","Business","Active"
1949,"+251798203915","Jemal Hussein","Dire Dawa","City","Dire Dawa",18-FEB-24,"Prepaid","Student","Active"
1950,"+251703172429","Kalkidan Yohannes","Addis Ababa","Center","Addis Ababa CBD",31-MAY-25,"Postpaid","Basic","Active"
1795,"+251755855241","Saba Mesfin","Oromia","East","Adama",09-NOV-22,"Prepaid","Basic","Active"
1796,"+251762369533","Tedros Kebede","Amhara","North","Bahir Dar",01-JAN-25,"Prepaid","Standard","Active"
1797,"+251771686396","Urge Teshome","Tigray","Central","Mekelle",22-DEC-23,"Prepaid","Premium","Active"
1798,"+251788954588","Wendimu Michael","SNNPR","Gurage","Wolkite",02-NOV-23,"Prepaid","Business","Active"
1799,"+251793600181","Yordanos Worku","Dire Dawa","City","Dire Dawa",25-DEC-22,"Prepaid","Student","Active"
1800,"+251705262143","Alemayehu Bekele","Addis Ababa","Center","Addis Ababa CBD",14-JAN-25,"Postpaid","Basic","Suspended"
1801,"+251713179392","Biruk Tesfaye","Oromia","East","Adama",17-DEC-22,"Hybrid","Standard","Terminated"
1802,"+251724558775","Chaltu Girma","Amhara","North","Bahir Dar",09-DEC-25,"Prepaid","Premium","Inactive"
1803,"+251738993461","Dereje Haile","Tigray","Central","Mekelle",14-MAY-25,"Prepaid","Business","Active"
1804,"+251744797634","Eleni Solomon","SNNPR","Gurage","Wolkite",07-OCT-25,"Prepaid","Student","Active"
1805,"+251756876318","Fasil Mengistu","Dire Dawa","City","Dire Dawa",26-JUL-25,"Prepaid","Basic","Active"
1806,"+25176210053.","Genet Abebe","Addis Ababa","Center","Addis Ababa CBD",16-JAN-25,"Prepaid","Standard","Active"
1807,"+251774486901","Habtamu Tadesse","Oromia","East","Adama",21-FEB-24,"Prepaid","Premium","Active"
1808,"+251782234627","Imani Mohammed","Amhara","North","Bahir Dar",29-MAY-23,"Prepaid","Business","Active"
1809,"+251791369650","Jemal Hussein","Tigray","Central","Mekelle",01-AUG-25,"Prepaid","Student","Active"
1810,"+251705458053","Kalkidan Yohannes","SNNPR","Gurage","Wolkite",03-OCT-23,"Postpaid","Basic","Active"
1811,"+251719049229","Liya Getahun","Dire Dawa","City","Dire Dawa",05-JUN-24,"Hybrid","Standard","Active"
1812,"+251725750842","Mulualem Assefa","Addis Ababa","Center","Addis Ababa CBD",23-FEB-23,"Prepaid","Premium","Active"
1813,"+251739581323","Nardos Daniel","Oromia","East","Adama",19-DEC-24,"Prepaid","Business","Active"
1814,"+251743305827","Omor Ahmed","Amhara","North","Bahir Dar",08-FEB-24,"Prepaid","Student","Active"
1815,"+251752999511","Saba Mesfin","Tigray","Central","Mekelle",12-NOV-22,"Prepaid","Basic","Active"
1816,"+251764604345","Tedros Kebede","SNNPR","Gurage","Wolkite",18-AUG-22,"Prepaid","Standard","Active"
1817,"+251778303981","Urge Teshome","Dire Dawa","City","Dire Dawa",11-JUL-24,"Prepaid","Premium","Active"
1818,"+251786629716","Wendimu Michael","Addis Ababa","Center","Addis Ababa CBD",14-OCT-24,"Prepaid","Business","Active"
1819,"+251796918859","Yordanos Worku","Oromia","East","Adama",14-NOV-23,"Prepaid","Student","Active"
1820,"+251708221689","Alemayehu Bekele","Amhara","North","Bahir Dar",29-JUN-23,"Postpaid","Basic","Suspended"
1821,"+251718441013","Biruk Tesfaye","Tigray","Central","Mekelle",20-JUN-24,"Hybrid","Standard","Terminated"
1822,"+251728874819","Chaltu Girma","SNNPR","Gurage","Wolkite",13-SEP-22,"Prepaid","Premium","Inactive"
1823,"+251735317560","Dereje Haile","Dire Dawa","City","Dire Dawa",03-MAR-24,"Prepaid","Business","Active"
1824,"+251749412737","Eleni Solomon","Addis Ababa","Center","Addis Ababa CBD",21-AUG-23,"Prepaid","Student","Active"
1825,"+251752741767","Fasil Mengistu","Oromia","East","Adama",07-FEB-24,"Prepaid","Basic","Active"
1826,"+251767034507","Genet Abebe","Amhara","North","Bahir Dar",30-JUN-23,"Prepaid","Standard","Active"
1827,"+251776514438","Habtamu Tadesse","Tigray","Central","Mekelle",06-DEC-22,"Prepaid","Premium","Active"
1828,"+251788758813","Imani Mohammed","SNNPR","Gurage","Wolkite",14-JUL-23,"Prepaid","Business","Active"
1829,"+251798014422","Jemal Hussein","Dire Dawa","City","Dire Dawa",17-APR-25,"Prepaid","Student","Active"
1830,"+251704149222","Kalkidan Yohannes","Addis Ababa","Center","Addis Ababa CBD",09-APR-23,"Postpaid","Basic","Active"
1831,"+251718894165","Liya Getahun","Oromia","East","Adama",28-OCT-25,"Hybrid","Standard","Active"
1832,"+251729372460","Mulualem Assefa","Amhara","North","Bahir Dar",14-MAY-24,"Prepaid","Premium","Active"
1833,"+251734299486","Nardos Daniel","Tigray","Central","Mekelle",09-DEC-24,"Prepaid","Business","Active"
1834,"+251743537007","Omor Ahmed","SNNPR","Gurage","Wolkite",25-JAN-23,"Prepaid","Student","Active"
1835,"+251758251640","Saba Mesfin","Dire Dawa","City","Dire Dawa",27-SEP-22,"Prepaid","Basic","Active"
1836,"+251765031003","Tedros Kebede","Addis Ababa","Center","Addis Ababa CBD",19-DEC-25,"Prepaid","Standard","Active"
1837,"+251774173231","Urge Teshome","Oromia","East","Adama",28-JAN-24,"Prepaid","Premium","Active"
1838,"+251783739401","Wendimu Michael","Amhara","North","Bahir Dar",02-FEB-24,"Prepaid","Business","Active"
1839,"+251799955051","Yordanos Worku","Tigray","Central","Mekelle",12-MAY-24,"Prepaid","Student","Active"
1840,"+251704693562","Alemayehu Bekele","SNNPR","Gurage","Wolkite",20-MAY-23,"Postpaid","Basic","Suspended"
1841,"+251711331175","Biruk Tesfaye","Dire Dawa","City","Dire Dawa",12-SEP-22,"Hybrid","Standard","Terminated"
1842,"+251727062592","Chaltu Girma","Addis Ababa","Center","Addis Ababa CBD",11-NOV-25,"Prepaid","Premium","Inactive"
1843,"+251731832016","Dereje Haile","Oromia","East","Adama",28-SEP-23,"Prepaid","Business","Active"
1844,"+251742896911","Eleni Solomon","Amhara","North","Bahir Dar",05-OCT-24,"Prepaid","Student","Active"
1845,"+251753506784","Fasil Mengistu","Tigray","Central","Mekelle",07-NOV-22,"Prepaid","Basic","Active"
1846,"+251768388992","Genet Abebe","SNNPR","Gurage","Wolkite",02-AUG-24,"Prepaid","Standard","Active"
1847,"+251773134162","Habtamu Tadesse","Dire Dawa","City","Dire Dawa",14-MAR-25,"Prepaid","Premium","Active"
1848,"+251787821196","Imani Mohammed","Addis Ababa","Center","Addis Ababa CBD",12-JUL-23,"Prepaid","Business","Active"
1849,"+251792310688","Jemal Hussein","Oromia","East","Adama",31-MAY-23,"Prepaid","Student","Active"
1850,"+251701747902","Kalkidan Yohannes","Amhara","North","Bahir Dar",24-OCT-23,"Postpaid","Basic","Active"
1851,"+251715060475","Liya Getahun","Tigray","Central","Mekelle",11-FEB-24,"Hybrid","Standard","Active"
1852,"+251722866709","Mulualem Assefa","SNNPR","Gurage","Wolkite",19-DEC-24,"Prepaid","Premium","Active"
1853,"+251738745514","Nardos Daniel","Dire Dawa","City","Dire Dawa",06-NOV-22,"Prepaid","Business","Active"
1854,"+251747016200","Omor Ahmed","Addis Ababa","Center","Addis Ababa CBD",24-OCT-24,"Prepaid","Student","Active"
1855,"+251756176565","Saba Mesfin","Oromia","East","Adama",09-OCT-23,"Prepaid","Basic","Active"
1856,"+251765083804","Tedros Kebede","Amhara","North","Bahir Dar",21-OCT-25,"Prepaid","Standard","Active"
1857,"+251778204935","Urge Teshome","Tigray","Central","Mekelle",31-DEC-22,"Prepaid","Premium","Active"
1858,"+251781506921","Wendimu Michael","SNNPR","Gurage","Wolkite",31-OCT-22,"Prepaid","Business","Active"
1859,"+251792765138","Yordanos Worku","Dire Dawa","City","Dire Dawa",13-MAY-23,"Prepaid","Student","Active"
1860,"+251701498704","Alemayehu Bekele","Addis Ababa","Center","Addis Ababa CBD",10-APR-25,"Postpaid","Basic","Suspended"
1861,"+251717618707","Biruk Tesfaye","Oromia","East","Adama",31-MAR-23,"Hybrid","Standard","Terminated"
1862,"+251727218784","Chaltu Girma","Amhara","North","Bahir Dar",22-JAN-23,"Prepaid","Premium","Inactive"
1863,"+251738050465","Dereje Haile","Tigray","Central","Mekelle",26-JUL-23,"Prepaid","Business","Active"
1864,"+251742551162","Eleni Solomon","SNNPR","Gurage","Wolkite",25-OCT-24,"Prepaid","Student","Active"
1865,"+251756744698","Fasil Mengistu","Dire Dawa","City","Dire Dawa",22-JUN-24,"Prepaid","Basic","Active"
1866,"+251767935990","Genet Abebe","Addis Ababa","Center","Addis Ababa CBD",23-APR-24,"Prepaid","Standard","Active"
1867,"+251779607320","Habtamu Tadesse","Oromia","East","Adama",10-MAR-25,"Prepaid","Premium","Active"
1868,"+251789238087","Imani Mohammed","Amhara","North","Bahir Dar",10-AUG-22,"Prepaid","Business","Active"
1869,"+251791114242","Jemal Hussein","Tigray","Central","Mekelle",27-DEC-23,"Prepaid","Student","Active"
1870,"+251705983439","Kalkidan Yohannes","SNNPR","Gurage","Wolkite",06-MAY-25,"Postpaid","Basic","Active"
1871,"+251716815534","Liya Getahun","Dire Dawa","City","Dire Dawa",02-MAY-25,"Hybrid","Standard","Active"
1872,"+251725664001","Mulualem Assefa","Addis Ababa","Center","Addis Ababa CBD",04-MAR-23,"Prepaid","Premium","Active"
1717,"+251773037222","Urge Teshome","Oromia","East","Adama",10-DEC-25,"Prepaid","Premium","Active"
1718,"+251788193172","Wendimu Michael","Amhara","North","Bahir Dar",11-DEC-24,"Prepaid","Business","Active"
1719,"+251791166337","Yordanos Worku","Tigray","Central","Mekelle",29-OCT-24,"Prepaid","Student","Active"
1720,"+25170306261.","Alemayehu Bekele","SNNPR","Gurage","Wolkite",08-JAN-24,"Postpaid","Basic","Suspended"
1721,"+251712675163","Biruk Tesfaye","Dire Dawa","City","Dire Dawa",19-DEC-23,"Hybrid","Standard","Terminated"
1722,"+251726334560","Chaltu Girma","Addis Ababa","Center","Addis Ababa CBD",30-MAR-23,"Prepaid","Premium","Inactive"
1723,"+251736504325","Dereje Haile","Oromia","East","Adama",14-NOV-22,"Prepaid","Business","Active"
1724,"+251742752025","Eleni Solomon","Amhara","North","Bahir Dar",26-OCT-24,"Prepaid","Student","Active"
1725,"+251759346703","Fasil Mengistu","Tigray","Central","Mekelle",19-JUL-23,"Prepaid","Basic","Active"
1726,"+2517624902.3","Genet Abebe","SNNPR","Gurage","Wolkite",12-JUL-25,"Prepaid","Standard","Active"
1727,"+251774898200","Habtamu Tadesse","Dire Dawa","City","Dire Dawa",06-OCT-25,"Prepaid","Premium","Active"
1728,"+251786435586","Imani Mohammed","Addis Ababa","Center","Addis Ababa CBD",14-MAR-23,"Prepaid","Business","Active"
1729,"+251791283938","Jemal Hussein","Oromia","East","Adama",02-JUL-25,"Prepaid","Student","Active"
1730,"+251709126339","Kalkidan Yohannes","Amhara","North","Bahir Dar",06-AUG-24,"Postpaid","Basic","Active"
1731,"+251719232029","Liya Getahun","Tigray","Central","Mekelle",28-MAR-24,"Hybrid","Standard","Active"
1732,"+251723152829","Mulualem Assefa","SNNPR","Gurage","Wolkite",19-OCT-25,"Prepaid","Premium","Active"
1733,"+25173820129.","Nardos Daniel","Dire Dawa","City","Dire Dawa",13-AUG-23,"Prepaid","Business","Active"
1734,"+251746625619","Omor Ahmed","Addis Ababa","Center","Addis Ababa CBD",07-NOV-23,"Prepaid","Student","Active"
1735,"+251754876362","Saba Mesfin","Oromia","East","Adama",20-FEB-24,"Prepaid","Basic","Active"
1736,"+251766741341","Tedros Kebede","Amhara","North","Bahir Dar",23-JUL-23,"Prepaid","Standard","Active"
1737,"+251774618245","Urge Teshome","Tigray","Central","Mekelle",15-NOV-23,"Prepaid","Premium","Active"
1738,"+25178504274.","Wendimu Michael","SNNPR","Gurage","Wolkite",13-NOV-22,"Prepaid","Business","Active"
1739,"+251796598754","Yordanos Worku","Dire Dawa","City","Dire Dawa",12-JUN-23,"Prepaid","Student","Active"
1740,"+25170894368.","Alemayehu Bekele","Addis Ababa","Center","Addis Ababa CBD",05-JAN-23,"Postpaid","Basic","Suspended"
1741,"+251712577091","Biruk Tesfaye","Oromia","East","Adama",26-DEC-25,"Hybrid","Standard","Terminated"
1742,"+25172724326.","Chaltu Girma","Amhara","North","Bahir Dar",20-SEP-25,"Prepaid","Premium","Inactive"
1743,"+251733501549","Dereje Haile","Tigray","Central","Mekelle",09-AUG-25,"Prepaid","Business","Active"
1744,"+251742311119","Eleni Solomon","SNNPR","Gurage","Wolkite",27-JAN-24,"Prepaid","Student","Active"
1745,"+251758202826","Fasil Mengistu","Dire Dawa","City","Dire Dawa",08-FEB-25,"Prepaid","Basic","Active"
1746,"+251762693662","Genet Abebe","Addis Ababa","Center","Addis Ababa CBD",20-SEP-22,"Prepaid","Standard","Active"
